,0
0,"
flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 3
3 --> 4{""Response from Expert?""}
4 --> |""No""|5[""Ask for External Expertise""]
4 --> |""Yes""|6[""Check Expert Response Time""]
5 --> 4
6 --> 7{""Response Time Check?""}
7 --> |""Yes""|8[""Forward Report to Referee""]
7 --> |""No""|5
8 --> 9[""Fill Out Check for Expenses""]
9 --> 10[""End Process""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2{""Are fees required?""}
2 --> |""No""|3[""Register Post-Seminar Results""]
2 --> |""Yes""|4[""Create Purchase Request""]
4 --> 5[""Check Purchase Approval""]
5 --> |""Denied""|6[""Notify Rejection""]
5 --> |""Approved""|7[""Send Approval Notification""]
6 --> 8[""EndNode""]
7 --> 3
"
2,"
flowchart LR
0[""Accept item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
4 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable Categorization""]
1 --> 7[""Milk""]
1 --> 8[""Cheese""]
9[""Non-perishable""]
10[""Perishable""]
7 --> 11[""Temperature Weight and Date Center""]
8 --> 11
9 --> 11
10 --> 11
4 --> 11
5 --> 11
6 --> 11
11 --> 12[""Store items based on item policy""]
"
3,"
flowchart LR
0[""Detect incident""] --> 1[""Check financial impact""]
1 --> 2{""Financial impact?""}
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""End process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open conference line""]
8 --> 9[""Troubleshoot issue""]
9 --> 10[""Check resolution known""]
9 --> 11[""Contact DBA Team""]
10 --> 12{""Resolution known?""}
12 --> |""YES""|13[""Fix issue""]
12 --> |""NO""|14[""Check with vendor""]
14 --> 15{""Vendor has a fix?""}
15 --> |""YES""|16[""Fix issue""]
15 --> |""NO""|17[""Failover to COB""]
13 --> 18[""Resolve and close EMS""]
16 --> 18
17 --> 18
18 --> 19[""End process""]
"
4,"
graph LR
0[""Open event creation page""] --> 1[""Populate name form""]
1 --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6[""Confirm event creation""]
6 --> 7{""Is the name form populated?""}
7 --> |""Yes""|8{""Does end time occur after start time?""}
7 --> |""No""|9[""Populate name form""]
8 --> |""Yes""|10[""Save event information""]
8 --> |""No""|11[""Display incorrect time notification""]
10 --> 12[""Event information saved on Facebook""]
12 --> 13[""End""]
11 --> 14[""Go back and populate time forms""]
14 --> 2
"
5,"
flowchart LR
0[""Weekly, in time for discounts""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out invoices""]
7 --> 8[""End Process""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Purpose of order?""}
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|5[""End Process""]
"
7,"
graph LR
0[""Start Node""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
4 --> 5[""Provide L&M cost estimates""]
5 --> 6[""Check RFQ again""]
6 --> 7{""Is RFQ verified?""}
7 --> |""No""|3
7 --> |""Yes""|8[""Analyze RFQ again""]
8 --> 9[""Provide L&M cost estimates again""]
9 --> 10{""Need more information?""}
10 --> |""Yes""|3
10 --> |""No""|11[""Add overhead costs""]
11 --> 12[""Generate pricing options""]
12 --> 13[""Generate sales quote""]
13 --> 14[""End Node""]
"
8,"
graph LR
0[""Start Node""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3{""Data complete?""}
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
4 --> 2
4 --> 6[""Check reinsurance option""]
6 --> 7[""Finish the contract""]
7 --> 8[""End Node""]
5 --> 8
"
9,"
flowchart LR
1[""Feel Hungry""] --> 2[""Decide to Cook""]
2 --> 3[""Choose Recipes""]
3 --> 4[""Prepare Ingredients""]
4 --> 5[""Prepare Water for Pasta""]
4 --> 6[""Prepare Salad for Washing""]
5 --> 7[""Put Pasta into Water""]
6 --> 8[""Wash Salad""]
7 --> 9[""Prepare Ingredients for Sauce""]
8 --> 10[""Prepare Ingredients for Dressing""]
9 --> 11[""Make Sauce""]
10 --> 12[""Make Dressing""]
11 --> 13[""Bring Dishes to Table""]
12 --> 14[""Prepare Dishes""]
13 --> 15[""Bring Meal to Table""]
15 --> 16[""Finish Lunch""]
"
