,0
0,"
flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 3
2 --> 4{""External Expertise Needed?""}
4 --> |""No""|5{""Expert Responds in Time?""}
4 --> |""Yes""|6[""Ask for External Expertise""]
5 --> |""Yes""|7[""Forward Report to Referee""]
5 --> |""No""|6
3 --> 8{""Expert Responds in Time?""}
8 --> |""Yes""|7
8 --> |""No""|6
7 --> 9[""Fill Out Check for Expenses""]
9 --> 10[""End Process""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees required?""}
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
3 --> 5[""EndNode""]
4 --> 6[""Check purchase approval""]
6 --> |""Denied""|7[""Notify rejection""]
6 --> |""Approved""|8[""Send approval notification""]
7 --> 5
8 --> 3
"
2,"
flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
1 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable Categorization""]
4 --> 7[""Milk""]
4 --> 8[""Cheese""]
9 --> 10[""Non-perishable""]
9 --> 11[""Perishable""]
7 --> 12[""Temperature Weight and Date Center""]
8 --> 12
10 --> 12
11 --> 12
3 --> 12
6 --> 12
4 --> 12
5 --> 12
12 --> 13[""Store Items Based on Item Policy""]
13 --> 14[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2[""Check Financial Impact""]
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""End Process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot Issue""]
9 --> 10{""Check Resolution Known?""}
10 --> |""YES""|11[""Fix Issue""]
10 --> |""NO""|12[""Check with Vendor""]
12 --> 13{""Vendor has Fix?""}
13 --> |""YES""|11
13 --> |""NO""|14[""Failover to COB""]
11 --> 15[""Resolve and Close EMS""]
15 --> 16[""End Process""]
"
4,"
flowchart LR
0[""Open event creation page""] --> 1[""Populate name form""]
1 --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6[""Confirm event creation""]
1 --> 10[""Access Name information""]
3 --> 11[""Access Location information""]
4 --> 12[""Access Event information""]
5 --> 13[""Access Privacy information""]
6 --> 14{""Is name form populated?""}
14 --> |""No""|1
14 --> |""Yes""|15{""Does end time occur after start time?""}
15 --> |""No""|8[""Display incorrect time notification""]
15 --> |""Yes""|7[""Save event information""]
8 --> 2
7 --> 9[""End process""]
"
5,"
flowchart LR
0[""Weekly (in time for discounts)""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out invoices""]
7 --> 8[""End process""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Purpose of the order?""}
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|5[""End Process""]
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 5[""Check RFQ again""]
5 --> 6{""Is RFQ verified?""}
6 --> |""No""|3
6 --> |""Yes""|4
3 --> 7[""Provide clarification""]
7 --> 8[""Verify RFQ again""]
8 --> 9{""Is RFQ verified?""}
9 --> |""No""|3
9 --> |""Yes""|10[""Add overhead costs""]
10 --> 11[""Generate pricing options""]
11 --> 12[""Generate sales quote""]
12 --> 13[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3{""Data complete?""}
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
5 --> 6[""EndNode""]
4 --> 7[""Check reinsurance option""]
7 --> 8[""Finish contract""]
8 --> 6
"
9,"
flowchart LR
0[""Feel Hungry""] --> 1[""Decide to Cook""]
1 --> 2[""Choose Recipes""]
2 --> 3[""Prepare Ingredients""]
3 --> 4[""Prepare Water for Pasta""]
3 --> 5[""Prepare Salad for Washing""]
4 --> 6[""Put Pasta into Water""]
5 --> 7[""Wash Salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 10[""Prepare Ingredients for Dressing""]
8 --> 9[""Make Sauce""]
10 --> 11[""Make Dressing""]
9 --> 12[""Bring Dishes to Table""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring Meal to Table""]
14 --> 15[""Finish Lunch""]
"
