,0
0,"
graph LR
0[""Interview Patients""] --> 1[""File results and expertise""]
0 --> 2[""Interview results""]
1 --> 3[""Create report""]
2 --> 3
3 --> 4{""Expert responds in time?""}
4 --> |""Yes""| 5[""Forward report to referee""]
4 --> |""No""| 6[""Ask for external expertise""]
5 --> 7[""Fill out check for expenses""]
5 --> 8[""Expertise""]
7 --> 9[""EndNode""]
6 --> 4
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees required?""}
2 --> |""No""| 3[""Register post-seminar results""]
2 --> |""Yes""| 4[""Create purchase request""]
3 --> 5[""EndNode""]
4 --> 6{""Purchase approved?""}
6 --> |""Denied""| 7[""Notify rejection""]
6 --> |""Approved""| 8[""Send approval notification""]
7 --> 5
8 --> 3
"
2,"
graph LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
2 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable Categorization""]
4 --> 11[""Temperature Weight and Date Center""]
5 --> 11
6 --> 11
7[""Milk""] --> 11
8[""Cheese""] --> 11
9[""Non-perishable""] --> 11
10[""Perishable""] --> 11
11 --> 12[""Store items based on item policy""]
12 --> 13[""EndNode""]
"
3,"
graph LR
0[""Detect Incident""] --> 1{""Financial Impact?""}
1 --> |""YES""| 2[""Open EMS""]
1 --> |""NO""| 3[""End Process""]
2 --> 4[""Contact Application Team""]
2 --> 5[""Contact SA Team""]
2 --> 6[""Contact DBA Team""]
2 --> 7[""Open Conference Line""]
4 --> 8[""Troubleshoot Issue""]
5 --> 8
6 --> 8
7 --> 8
8 --> 9{""Resolution Known?""}
9 --> |""YES""| 10[""Fix Issue""]
9 --> |""NO""| 11[""Check with Vendor""]
10 --> 12[""Resolve and Close EMS""]
11 --> 13{""Vendor has a fix?""}
13 --> |""YES""| 10
13 --> |""NO""| 14[""Failover to COB""]
12 --> 3
"
4,"
graph LR
0[""Open event creation page""] --> 1[""Populate name form""]
1 --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6[""Confirm event creation""]
6 --> 7{""Is name form populated?""}
7 --> |""Yes""| 8{""Does end time occur after start time?""}
7 --> |""No""| 1
8 --> |""Yes""| 9[""Save event information""]
8 --> |""No""| 10[""Display incorrect time notification""]
10 --> 2
9 --> 11[""EndNode""]
"
5,"
graph LR
0[""Weekly, in time for discounts""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
3 --> 4[""Send payment report to registry""]
3 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out invoices""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Purpose of Inventory?""}
3 --> |""Replenish""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|5[""End Process""]
4 --> 5
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""RFQ verified?""}
2 --> |""No""| 3[""Ask for more information""]
2 --> |""Yes""| 4[""Analyze RFQ and provide L&M cost estimates""]
3 --> 5[""Provide clarification""]
5 --> 1
4 --> 6{""RFQ verified?""}
6 --> |""No""| 3
6 --> |""Yes""| 7[""Add overhead costs""]
7 --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]
"
8,"
graph LR
0[""Receive negotiated conditions""] --> 1[""Check for completeness""]
1 --> 2{""Is data complete?""}
2 --> |""Yes""| 3[""Perform risk assessment""]
2 --> |""No""| 4[""Send failure notice""]
3 --> 5[""Check reinsurance option""]
5 --> 6[""Finish contract""]
4 --> 7[""EndNode""]
6 --> 7
"
9,"
graph LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare ingredients for sauce""]
7 --> 9[""Prepare ingredients for dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]
"
10,"
graph LR
0[""Customer encounters a problem""] --> 1[""Obtain detailed description of the problem""]
1 --> 2{""Can I handle the problem myself?""}
2 --> |""Yes""| 3[""Explain the solution""]
2 --> |""No""| 4[""Send email to support system""]
4 --> 5[""Wait for an answer""]
5 --> 3
3 --> 6[""EndNode""]
"
11,"
graph LR
0[""Complete purchase order""] --> 1[""Send invoice""]
0 --> 2[""Send goods""]
1 --> 3[""EndNode""]
2 --> 3
"
12,"
graph LR
0[""StartNode""] --> 1[""Prepare shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3[""Carrier provides response""]
3 --> 4{""Carrier response""}
4 --> |""No""| 5[""EndNode (Link A: Acquisition of carriers)""]
4 --> |""Yes""| 6[""Accept shipment order""]
6 --> 7{""Carrier response""}
7 --> |""No""| 5
7 --> |""Yes""| 8[""Ordered shipment realized""]
8 --> 9[""EndNode""]
"
