,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 3[""Create report""]
2 --> 3
3 --> 4[""Is answer 'No'?""]
4 --> |""No""|6[""Ask for external expertise""]
4 --> |""No""|8[""Forward report to referee""]
6 --> 7[""Does expert respond in time?""]
7 --> |""Yes""|8
7 --> |""No""|6
8 --> 9[""Fill out check to pay for expenses""]
9 --> 10[""EndNode""]"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Fees required?""]
2 --> |""Yes""|3[""Create purchase request""]
2 --> |""No""|9[""Register post-seminar results""]
3 --> 5[""Purchase approved?""]
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
6 --> 10[""EndNode""]
7 --> 9
9 --> 8[""EndNode""]"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
10[""Non-perishable""] --> 12[""Temperature Weight and Date Center""]
15[""Store items based on item policy""] --> 14[""EndNode""]"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2[""Financial impact?""]
2 --> |""NO""|3[""EndNode""]
2 --> |""YES""|4[""Open EMS""]
4 --> 5[""Contact Application Team""]
4 --> 6[""Contact SA Team""]
4 --> 7[""Contact DBA Team""]
5 --> 8[""Open conference line""]
6 --> 8
7 --> 8
8 --> 9[""Troubleshoot issue""]
11[""Check if resolution is known""] --> 12[""Resolution known?""]
12 --> |""YES""|13[""Fix issue""]
12 --> |""NO""|14[""Check with vendor""]
13 --> 15[""Resolve and close EMS""]
14 --> 16[""Vendor has fix?""]
15 --> 17[""EndNode""]
16 --> |""NO""|18[""Failover to COB""]
16 --> |""YES""|13"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Is name form populated?""]
8 --> |""No""|2
8 --> |""Yes""|9[""Does end time occur after start time?""]
9 --> |""No""|10[""Display incorrect time notification""]
9 --> |""Yes""|11[""Save event information""]
10 --> 3
11 --> 12[""Event information saved on Facebook""]
12 --> 13[""EndNode""]"
5,"flowchart LR
1[""Weekly, in time for discounts""] --> 2[""Pay invoices""]
2 --> 3[""Generate a payment report""]
3 --> 4[""Send payment report to Accounts Receivable Department""]
3 --> 5[""Send payment report to registry""]
6[""Generate monthly invoices""] --> 7[""Send out invoices""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 6[""Select Warehouse""]
3[""Purpose of Order""] --> |""Replenish Inventory""|4[""Replenish Inventory""]
3 --> |""Confirm Order for Delivery""|8[""Confirm Order for Delivery""]
7[""Reserve Inventory""] --> 3
8 --> 5[""EndNode""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2[""RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
2 --> |""No""|5[""Provide clarification""]
2 --> |""Yes""|6[""Add overhead costs""]
3 --> 4
4 --> 2
5 --> 2
6 --> 9[""Generate pricing options""]
7[""Generate sales quote""] --> 8[""EndNode""]
9 --> 7"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3[""Data complete?""]
3 --> |""No""|4[""Send failure notice""]
3 --> |""Yes""|5[""Perform risk assessment""]
3 --> |""Yes""|6[""Check reinsurance option""]
4 --> 8[""EndNode""]
6 --> 7[""Finish contract""]
7 --> 8"
9,"flowchart LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare ingredients to make sauce""]
7 --> 9[""Prepare ingredients to make dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]"
