,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 2
2 --> 3[""Create report""]
3 --> 4{""Answer is Yes or No""}
4 --> |""Yes""|5[""Ask for external expertise""]
4 --> |""No""|6[""Check if expert responds in time""]
5 --> 6
6 --> 7{""Answer is Yes or No""}
7 --> |""Yes""|8[""Forward to referee""]
7 --> |""No""|8
8 --> 9[""Fill out check to pay for expenses""]
9 --> 10[""EndNode""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees required?""}
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5{""Purchase approved?""}
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
7 --> 3
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
5 --> 6[""Fruit Categorization""]
5 --> 11[""Temperature Weight and Date Center""]
6 --> 11
4 --> 7[""Vegetable Categorization""]
7 --> 11
5 --> 8[""Milk""]
5 --> 11
6 --> 8
4 --> 9[""Cheese""]
4 --> 11
2 --> 10[""Non-perishable""]
2 --> 11
3 --> 10
10 --> 11
10 --> 12[""Store items based on item policy""]
11 --> 12
8 --> 12
9 --> 12
11 --> 12
12 --> 13[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2{""Financial impact?""}
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""End process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open conference line""]
8 --> 9[""Troubleshoot issue""]
8 --> 10[""Contact DBA Team""]
8 --> 11[""Check if resolution is known""]
8 --> 12[""Fix issue""]
10 --> 13{""Check with vendor""}
11 --> 14{""Check with vendor""}
12 --> 15[""Resolve and close EMS""]
13 --> 16[""Failover to COB""]
14 --> 17[""Fix issue""]
16 --> 18[""Fix issue""]
17 --> 19[""Check if vendor has a fix""]
19 --> |""YES""|20[""Fix issue""]
19 --> |""NO""|21[""Failover to COB""]
21 --> 22[""Fix issue""]
"
4,"
graph LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate the name form""]
2 --> 3[""Populate the time forms""]
3 --> 4[""Populate the location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7{""Is the name form populated?""}
7 --> |""Yes""|8[""Confirm event creation""]
7 --> |""No""|9[""Populate name form""]
8 --> 10{""Does the end time occur after the start time?""}
10 --> |""Yes""|11[""Save event information""]
10 --> |""No""|12[""Display incorrect time notification""]
12 --> 13[""Populate time forms""]
13 --> 11
11 --> 14[""Pay attention to the fact that it is saved on Facebook""]
14 --> 15[""EndNode""]
"
5,"
graph LR
0[""Weekly""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
1 --> 4[""Send payment report to registry""]
4 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out invoices""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Replenish Inventory?""}
3 --> |""Yes""|4[""Reserve Inventory""]
3 --> |""No""|5[""Confirm Order for Delivery""]
4 --> 6[""EndNode""]
5 --> 6
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
4 --> 5{""RFQ verified?""}
5 --> |""No""|6[""Ask for more information""]
5 --> |""Yes""|7[""Provide L&M cost estimates""]
7 --> 8{""RFQ verified?""}
8 --> |""No""|9[""Provide clarification""]
8 --> |""Yes""|10[""Add overhead costs""]
10 --> 11[""Generate pricing options""]
11 --> 12[""Generate sales quote""]
9 --> 13{""RFQ verified?""}
13 --> |""Yes""|12
12 --> 14[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2{""Data complete?""}
2 --> |""Yes""|3[""Check for completeness""]
2 --> |""No""|4[""Send failure notice""]
3 --> 5[""Perform risk assessment""]
5 --> 6{""Data complete?""}
6 --> |""Yes""|7[""Check reinsurance option""]
6 --> |""No""|8[""Repeat from Check for completeness""]
7 --> 9[""Finish contract""]
9 --> 10[""EndNode""]
"
9,"
graph LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2{""Decide to cook""}
2 --> |""Yes""|3[""Choose recipes""]
2 --> |""No""|4[""EndNode""]
3 --> 5[""Prepare ingredients""]
5 --> 6[""Prepare water for pasta""]
6 --> 7[""Put pasta in water""]
5 --> 8[""Prepare salad for washing""]
8 --> 9[""Wash salad""]
7 --> 10[""Prepare ingredients to make sauce""]
9 --> 11[""Prepare ingredients to make dressing""]
10 --> 12[""Make sauce""]
11 --> 12
12 --> 13[""Bring dishes to table""]
13 --> 14[""Prepare dishes""]
14 --> 15[""Bring meal to table""]
15 --> 16[""Finish lunch""]
16 --> 17[""EndNode""]
"
