,0
0,"
flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 4{""Ask for External Expertise?""}
4 --> |""No""| 3
4 --> |""Yes""| 5[""Ask for External Expertise""]
5 --> 6{""Check Expert Response Time?""}
6 --> |""Yes""| 7[""Forward Report to Referee""]
6 --> |""No""| 5
3 --> 8{""Check Expert Response Time?""}
8 --> |""Yes""| 7
8 --> |""No""| 5
7 --> 9[""Fill out Check for Expenses""]
9 --> 10[""End Process""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Are fees required?""}
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5[""Check purchase approval""]
5 --> |""Denied""|6[""Notify rejection""]
5 --> |""Approved""|7[""Send approval notification""]
6 --> 8[""EndNode""]
7 --> 3
"
2,"
flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
2 --> 4
3 --> 4
3 --> 5[""Vegetable Categorization""]
4 --> 5
4 --> 6[""Temperature Weight and Date Center""]
5 --> 6
3 --> 7[""Milk""]
3 --> 8[""Cheese""]
9[""Non-perishable""] --> 11[""Temperature Weight and Date Center""]
10[""Perishable""] --> 11
7 --> 11
8 --> 11
11 --> 12[""Store Items Based on Item Policy""]
"
3,"
flowchart LR
0[""Detect Incident""] --> 1[""Check Financial Impact""]
1 --> |""YES""|2[""Open EMS""]
1 --> |""NO""|3[""End Process""]
2 --> 4[""Contact Application Team""]
2 --> 5[""Contact SA Team""]
2 --> 6[""Contact DBA Team""]
2 --> 7[""Open Conference Line""]
7 --> 8[""Troubleshoot Issue""]
6 --> 9{""Resolution Known?""}
9 --> |""YES""|10[""Fix Issue""]
9 --> |""NO""|11[""Check with Vendor""]
11 --> 12{""Vendor Fix?""}
12 --> |""YES""|10
12 --> |""NO""|13[""Failover to COB""]
10 --> 14[""Resolve and Close EMS""]
14 --> 3
"
4,"
flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate the name form""]
2 --> 3[""Access 'Name information'""]
3 --> 4[""Populate the time forms""]
4 --> 5[""Populate the location forms""]
5 --> 6[""Access 'Location information'""]
6 --> 7[""Populate additional information""]
7 --> 8[""Access 'Event information'""]
8 --> 9[""Configure privacy settings""]
9 --> 10[""Access 'Privacy information'""]
10 --> 11[""Confirm event creation""]
11 --> 12{""Is name form populated?""}
12 --> |""No""|13[""Go back and populate the name form""]
12 --> |""Yes""|14{""Does end time occur after start time?""}
14 --> |""No""|15[""Display incorrect time notification""]
15 --> 4
14 --> |""Yes""|16[""Save event information""]
16 --> 17[""End process""]
"
5,"
flowchart LR
0[""Weekly (in time for discounts)""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out invoices""]
7 --> 8[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Purpose of the order?""}
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|5[""End Process""]
4 --> 5
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 5[""Check RFQ verification again""]
5 --> 6{""Is RFQ verified?""}
6 --> |""No""|3
6 --> |""Yes""|7[""Analyze RFQ and provide L&M cost estimates""]
7 --> 8[""Add overhead costs""]
8 --> 9[""Generate pricing options""]
9 --> 10[""Generate sales quote""]
10 --> 11[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3{""Data complete?""}
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
4 --> 6[""Check for completeness""]
6 --> 2
6 --> 7[""Check reinsurance option""]
7 --> 8[""Finish contract""]
8 --> 9[""EndNode""]
"
9,"
flowchart LR
0[""Feel Hungry""] --> 1[""Decide to Cook""]
1 --> 2[""Choose Recipes""]
2 --> 3[""Prepare Ingredients""]
3 --> 4[""Prepare Water for Pasta""]
3 --> 5[""Prepare Salad for Washing""]
4 --> 6[""Put Pasta into Water""]
5 --> 7[""Wash Salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 9[""Prepare Ingredients for Dressing""]
8 --> 10[""Make Sauce""]
9 --> 11[""Make Dressing""]
10 --> 12[""Bring Dishes to Table""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring Meal to Table""]
14 --> 15[""Finish Lunch""]
"
