,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 3[""Create report""]
2 --> 3
3 --> 4{""Is the answer 'Yes' or 'No'?""}
4 --> |""Yes""|5[""Forward report to referee""]
4 --> |""No""|6[""Ask for external expertise""]
6 --> 7{""Does the expert respond in time?""}
7 --> |""Yes""|5
7 --> |""No""|6
5 --> 8[""Fill out check to pay for expenses""]
8 --> 9[""EndNode""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees required?""}
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5{""Purchase approved?""}
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
3 --> 8[""EndNode""]
6 --> 8
7 --> 3
7 --> 8
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
2 --> 6[""Fruit Categorization""]
6 --> 7[""Vegetable Categorization""]
7 --> 8[""Milk""]
7 --> 9[""Cheese""]
8 --> 10[""Non-perishable""]
8 --> 11[""Perishable""]
10 --> 12[""Temperature Weight and Date Center""]
11 --> 12
12 --> 13[""Fruits""]
13 --> 12
12 --> 14[""Fruit Categorization""]
14 --> 12
12 --> 15[""Vegetable Categorization""]
15 --> 12
12 --> 16[""Milk""]
16 --> 12
12 --> 17[""Cheese""]
17 --> 12
12 --> 18[""Non-perishable""]
18 --> 12
12 --> 19[""Perishable""]
19 --> 12
12 --> 20[""Store items based on policy""]
20 --> 21[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2[""Check financial impact""]
2 --> 3{""Financial impact?""}
3 --> |""YES""|4[""Open EMS""]
3 --> |""NO""|5[""EndNode""]
4 --> 6[""Contact Application Team""]
4 --> 7[""Contact SA Team""]
4 --> 8[""Get in touch with DBA Team""]
6 --> 9[""Open conference line""]
7 --> 9
8 --> 9
9 --> 10[""Troubleshoot issue""]
10 --> 11[""Contact DBA Team and check resolution""]
11 --> 12{""Resolution known?""}
12 --> |""YES""|13[""Fix issue""]
12 --> |""NO""|14[""Check with vendor""]
13 --> 15[""Resolve and close EMS""]
14 --> 16{""Vendor has fix?""}
16 --> |""YES""|13
16 --> |""NO""|17[""Failover to COB""]
15 --> 18[""EndNode""]
17 --> 18
"
4,"
flowchart LR
0[""Open event creation page""] --> 1[""Populate name form""]
1 --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6[""Confirm event creation""]
6 --> 7{""Name form populated?""}
7 --> |""No""|1
7 --> |""Yes""|8{""End time after start time?""}
8 --> |""No""|9[""Display incorrect time notification""]
9 --> 2
8 --> |""Yes""|10[""Save event information""]
10 --> 11[""Event information saved on Facebook""]
"
5,"
flowchart LR
0[""Weekly""] --> 1[""Pay invoices""]
1 --> 2[""Generate a payment report""]
2 --> 3[""Send payment report to the Accounts Receivable Department""]
2 --> 4[""Send payment report to the registry""]
4 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out the invoices""]
3 --> 6
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse and Reserve Inventory""]
2 --> 3{""Purpose of Submission""}
3 --> |""Replenish Inventory""|4[""Replenish Inventory""]
3 --> |""Confirm Order for Delivery""|5[""Confirm Order for Delivery""]
4 --> 5
5 --> 6[""EndNode""]
"
7,"
graph LR
0[""StartNode""] --> 1{""RFQ verified?""}
1 --> |""No""| 2[""Ask for more information""]
2 --> 1
1 --> |""Yes""| 3[""Analyze RFQ and provide L&M cost estimates""]
3 --> 1
1 --> |""No""| 4[""Provide clarification""]
4 --> 1
1 --> |""Yes""| 5[""Add overhead costs""]
5 --> 6[""Generate pricing options""]
6 --> 7[""Generate sales quote""]
7 --> 8[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check completeness""]
2 --> 3{""Data complete?""}
3 --> |""No""|4[""Send failure notice""]
3 --> |""Yes""|5[""Perform risk assessment""]
4 --> 6[""EndNode""]
5 --> 2
5 --> 7[""Check reinsurance option""]
7 --> 8[""Finish contract""]
8 --> 6
"
9,"
flowchart LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
6 --> 7[""Prepare ingredients to make sauce""]
7 --> 8[""Make sauce""]
5 --> 9[""Wash salad""]
9 --> 10[""Prepare ingredients to make dressing""]
10 --> 11[""Make dressing""]
8 --> 12[""Bring dishes to table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]
"
10,"
graph LR
0[""Customer encounters problem""] --> 1[""Obtain problem description""]
1 --> 2{""Can handle problem?""}
2 --> |""Yes""|3[""Explain solution""]
2 --> |""No""|4[""Send email to support system""]
4 --> 5{""Can handle problem?""}
5 --> |""Yes""|3
5 --> |""No""|4
4 --> 6[""Wait for answer""]
6 --> 3
3 --> 7[""EndNode""]
"
11,"
graph LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send invoice""]
1 --> 3[""Send goods""]
2 --> 4[""EndNode""]
3 --> 4
"
12,"
graph LR
0[""StartNode""] --> 1[""Prepare shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3{""Carrier Response""}
3 --> |""no""|4[""EndNode""]
3 --> |""positive""|5[""Acceptance of shipment order""]
3 --> |""yes""|5
5 --> 3
3 --> |""yes""|6[""Ordered shipment realized""]
6 --> 4
"
13,"
graph LR
0[""Order received""] --> 1[""Create Invoice""]
0 --> 2[""Prepare Shipping""]
1 --> 3[""Send Invoice""]
2 --> 4[""Ship Item""]
3 --> 5[""Confirm Payment""]
5 --> 6[""EndNode""]
"
14,"
graph LR
0[""StartNode""] --> 1{""Can fulfill order?""}
1 --> |""Yes""|2[""Confirm order""]
1 --> |""No""|3[""Reject order""]
2 --> 4[""Deliver order""]
3 --> 5[""Notify order rejected""]
5 --> 6[""EndNode""]
4 --> 7[""Notify order delivered""]
7 --> 6
1 --> 1
3 --> 1
"
15,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""Verification successful?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
3 --> 1
4 --> 5[""Provide L&M cost estimates""]
4 --> 1
2 --> |""Yes""|6[""Add overhead cost""]
6 --> 7[""Generate pricing options""]
7 --> 8[""Provide verification""]
8 --> 1
2 --> |""Yes""|6
6 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]
"
16,"
graph LR
0[""StartNode""] --> 1[""Check Customer's Credit History""]
0  --> 2[""Conduct a Property Survey""]
0 --> 3[""Search the Property Title""]
1 -.> ""Credit History File""
2 -.> ""Survey Document""
1 --> 4[""EndNode""]
2 --> 4
3 --> 4
"
17,"
graph LR
0[""StartNode""] --> 1[""Change Status""]
1 --> 2{""Product on sale?""}
2 --> |""Yes""|3[""Product on sale - marked""]
2 --> |""No""|4[""Product not on sale - marked""]
3 --> 2
4 --> 2
"
18,"
graph LR
0[""StartNode""] --> 1[""Identify invoice errors""]
1 --> 2[""Highlight errors on entry form""]
1 --> 3[""Update record of mistakes""]
2 --> 4[""Send invoice back""]
3 --> 4
4 --> 5[""Conclude process""]
"
19,"
graph LR
0[""StartNode""] --> 1[""Run Invoice Payment Process for SSP""]
0 --> 2[""Run Invoice Payment Process""]
1 --> 3[""Sending Payment Report to Accounts Receivable""]
2 --> 4[""Generating Invoice Payment Report""]
2 --> 5[""Sending Payment Report to Client""]
2 --> 6[""Sending Payment Report to Registry""]
3 --> 7[""Generating Monthly Invoices for Clients""]
5 --> 8[""EndNode""]
4 --> 9[""Generating Monthly Invoices for Clients""]
9 --> 10[""Charging Clients""]
10 --> 11[""EndNode""]
6 --> 11[""EndNode""]
"
