,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 3[""Create report""]
2 --> 3
3 --> 4[""Is answer 'No'?""]
4 --> |""Yes""|5[""Forward report to referee""]
4 --> |""No""|6[""Ask for external expertise""]
5 --> 8[""Fill out check to pay for expenses""]
6 --> 7[""Does expert respond in time?""]
7 --> |""Yes""|5
7 --> |""No""|6
8 --> 9[""EndNode""]"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
3 --> 10[""EndNode""]
4 --> 5[""Purchase approved?""]
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
6 --> 8[""EndNode""]
7 --> 3"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 13[""Fruits""]
3 --> 19[""Perishable""]
4 --> 15[""Vegetable Categorization""]
12[""Temperature Weight and Date Center""] --> 16[""Milk""]
12 --> 17[""Cheese""]
12 --> 18[""Non-perishable""]
13 --> 14[""Fruit Categorization""]
14 --> 12
15 --> 12
16 --> 12
17 --> 12
18 --> 12
19 --> 12"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 3[""Financial impact?""]
3 --> |""YES""|4[""Open EMS""]
3 --> |""NO""|5[""EndNode""]
4 --> 6[""Contact Application Team""]
4 --> 7[""Contact SA Team""]
4 --> 8[""Contact DBA Team""]
6 --> 9[""Open conference line""]
7 --> 9
8 --> 9
9 --> 10[""Troubleshoot issue""]
10 --> 11[""Check if resolution is known""]
11 --> 12[""Resolution known?""]
12 --> |""YES""|13[""Fix issue""]
12 --> |""NO""|14[""Check with vendor""]
13 --> 15[""Resolve and close EMS""]
14 --> 16[""Vendor has fix?""]
15 --> 18[""EndNode""]
16 --> |""YES""|13
16 --> |""NO""|17[""Failover to COB""]"
4,"flowchart LR
0[""Open event creation page""] --> 14[""Populate name form""]
1[""Populate name form""] --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6[""Confirm event creation""]
6 --> 7[""Is name form populated?""]
7 --> |""No""|1
7 --> |""Yes""|8[""Does end time occur after start time?""]
8 --> |""No""|9[""Display incorrect time notification""]
8 --> |""Yes""|10[""Save event information""]
9 --> 2
10 --> 11[""Event information saved on Facebook""]
11 --> 13[""EndNode""]
12[""StartNode""] --> 0
14 --> 2"
5,"flowchart LR
1[""Pay invoices""] --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
3 --> 5[""Generate monthly invoices""]
4 --> 6[""Send out invoices""]
5 --> 6
7[""Activate Weekly""] --> 1"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 7[""Select Warehouse""]
4[""Replenish Inventory""] --> 5[""Confirm Order for Delivery""]
5 --> 6[""EndNode""]
7 --> 8[""Reserve Inventory""]
8 --> 9[""Purpose of order""]
9 --> |""Replenish Inventory""|4
9 --> |""Confirm Order for Delivery""|5"
7,"flowchart LR
0[""StartNode""] --> 1[""RFQ verified?""]
0 --> 9[""Verify RFQ""]
1 --> |""No""|2[""Ask for more information""]
1 --> |""Yes""|5[""Add overhead costs""]
2 --> 4[""Provide clarification""]
4 --> 1
5 --> 6[""Generate pricing options""]
6 --> 7[""Generate sales quote""]
7 --> 8[""EndNode""]
9 --> 1"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3[""Data complete?""]
3 --> |""No""|4[""Send failure notice""]
3 --> |""Yes""|5[""Perform risk assessment""]
4 --> 6[""EndNode""]
5 --> 7[""Check reinsurance option""]
7 --> 8[""Finish contract""]
8 --> 6"
9,"flowchart LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 9[""Wash salad""]
6 --> 7[""Prepare ingredients to make sauce""]
7 --> 8[""Make sauce""]
8 --> 12[""Bring dishes to table""]
9 --> 10[""Prepare ingredients to make dressing""]
10 --> 11[""Make dressing""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]
16[""StartNode""] --> 0"
