,0
0,"
flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 3[""Create report""]
2 --> 4{""Is external expertise needed?""}
3 --> 5[""Data Object: Report""]
4 --> |""Yes""|6[""Ask for external expertise""]
4 --> |""No""|7[""Proceed without expertise""]
6 --> 8[""Check expert response time""]
8 --> 9{""Expert response timely?""}
9 --> |""Yes""|10[""Forward report to referee""]
9 --> |""No""|6
10 --> 11[""Fill out check for expenses""]
11 --> 12[""Data Object: Expertise""]
12 --> 13[""End process""]
5 --> 14{""Expert response timely?""}
14 --> |""Yes""|10
14 --> |""No""|6
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Are fees required?""}
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5{""Is the purchase approved?""}
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
3 --> 8[""EndNode""]
6 --> 8
7 --> 3
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept Item""]
1 --> 2[""Dairy Categorization""]
1 --> 3[""Other Categorization""]
1 --> 4[""Vegetable Categorization""]
1 --> 5[""Fruit Categorization""]
4 --> 6[""Milk Categorization""]
4 --> 7[""Cheese Categorization""]
4 --> 8[""Non-perishable Categorization""]
4 --> 9[""Perishable Categorization""]
5 --> 10[""Temperature Weight and Date Center""]
6 --> 10
7 --> 10
8 --> 10
9 --> 10
10 --> 11[""Store Items Based on Item Policy""]
11 --> 12[""EndNode""]
"
3,"
graph LR
0[""Detect Incident""] --> 1[""Check Financial Impact""]
1 --> |""YES""|2[""Open EMS""]
1 --> |""NO""|3[""End Process""]
2 --> 4[""Contact Application Team""]
2 --> 5[""Contact SA Team""]
2 --> 6[""Contact DBA Team""]
2 --> 7[""Open Conference Line""]
4 --> 8[""Troubleshoot Issue""]
5 --> 8
6 --> 8
7 --> 8
8 --> 9{""Check if Resolution Known (DBA)""}
9 --> |""YES""|10[""Fix Issue (DBA)""]
9 --> |""NO""|11[""Check with Vendor (DBA)""]
10 --> 12{""Check if Resolution Known (App)""}
11 --> 12
12 --> |""YES""|13[""Fix Issue (App)""]
12 --> |""NO""|14[""Check with Vendor (App)""]
13 --> 15[""Resolve and Close EMS""]
14 --> 15
15 --> 16[""End Process""]
16 --> 17{""Check if Vendor has fix""}
17 --> |""YES""|18[""Fix Issue""]
17 --> |""NO""|19[""Failover to COB""]
"
4,"
flowchart LR
0[""Start Node""] --> 1[""Open Event Creation Page""]
1 --> 2[""Populate Name Form""]
2 --> 3[""Populate Time Forms""]
3 --> 4[""Populate Location Forms""]
4 --> 5[""Populate Additional Information""]
5 --> 6[""Configure Privacy Settings""]
6 --> 7[""Confirm Event Creation""]
7 --> 8{""Is Name Form populated?""}
8 --> |""No""|9[""Populate Name Form""]
8 --> |""Yes""|10{""Does End Time occur after Start Time?""}
10 --> |""No""|11[""Display Incorrect Time Notification""]
10 --> |""Yes""|12[""Save Event Information""]
11 --> 3
12 --> 13[""Pay attention: Saved on Facebook""]
13 --> 14[""End Node""]
"
5,"
graph LR
0[""Weekly tasks""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out the invoices""]
7 --> 8[""End process""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select a Warehouse""]
2 --> 3{""Purpose of the process?""}
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|5[""End Process""]
4 --> 6[""End Process""]
"
7,"
graph LR
0[""Start""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 5[""Check RFQ again""]
5 --> 6{""Is RFQ verified?""}
6 --> |""No""|3
6 --> |""Yes""|7[""Analyze RFQ and provide L&M cost estimates""]
7 --> 8{""Need more information?""}
8 --> |""Yes""|3
8 --> |""No""|9[""Add overhead costs""]
9 --> 10[""Generate pricing options""]
10 --> 11[""Generate sales quote""]
11 --> 12[""End""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3{""Data complete?""}
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
4 --> 6[""Check reinsurance option""]
6 --> 7[""Finish contract""]
7 --> 8[""EndNode""]
"
9,"
flowchart LR
0[""Feel Hungry""] --> 1[""Decide to Cook""]
1 --> 2[""Choose Recipes""]
2 --> 3[""Prepare Ingredients""]
3 --> 4[""Prepare Water for Pasta""]
3 --> 5[""Prepare Salad for Washing""]
4 --> 6[""Put Pasta into Water""]
5 --> 7[""Wash Salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 9[""Prepare Ingredients for Dressing""]
8 --> 10[""Make Sauce""]
9 --> 11[""Make Dressing""]
10 --> 12[""Bring Dishes to the Table""]
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring Meal to the Table""]
14 --> 15[""Finish Lunch""]
"
