,0
0,"flowchart LR
0[""Start""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 4[""Is external expertise needed?""]
2 --> 3
3 --> 5[""Did the expert respond in time?""]
4 --> |""Yes""|6[""Ask for External Expertise""]
4 --> |""No""|11[""Check expert response time""]
5 --> |""Yes""|7[""Forward Report to Referee""]
5 --> |""No""|6
6 --> 8[""Expert Responds in Time?""]
7 --> 9[""Fill out check for expenses""]
8 --> |""Yes""|7
8 --> |""No""|6
9 --> 18[""End Process""]
11 --> |""Yes""|9
11 --> |""No""|4"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Are fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
3 --> 8[""EndNode""]
4 --> 9[""Is purchase approved?""]
6[""Notify rejection""] --> 8
7[""Send approval notification""] --> 3
9 --> |""Denied""|6
9 --> |""Approved""|7"
2,"flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
1 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable Categorization""]
4 --> 7[""Milk""]
4 --> 8[""Cheese""]
4 --> 9[""Non-perishable""]
4 --> 11[""Temperature Weight and Date Center""]
5 --> 11
6 --> 11
7 --> 11
8 --> 11
9 --> 11
9 --> 10[""Perishable""]
10 --> 11
11 --> 12[""Store Items Based on Item Policy""]
13[""StartNode""] --> 0"
3,"flowchart LR
0[""Start Node""] --> 1[""Detect Incident""]
1 --> 2[""Check Financial Impact""]
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""End Process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot Issue""]
9 --> 10[""Check Resolution Known?""]
10 --> |""YES""|11[""Fix Issue""]
10 --> |""NO""|12[""Check with Vendor""]
11 --> 15[""Resolve and Close EMS""]
12 --> 10
13[""Does Vendor have a Fix?""] --> |""YES""|11
13 --> |""NO""|14[""Failover to COB""]
15 --> 13"
4,"flowchart LR
0[""Start Node""] --> 1[""Open event creation page""]
1 --> 2[""Populate the name form""]
2 --> 4[""Populate time forms""]
4 --> 5[""Populate location forms""]
5 --> 7[""Populate additional information""]
7 --> 9[""Configure privacy settings""]
9 --> 11[""Confirm event creation""]
11 --> 12[""Is name form populated?""]
12 --> |""No""|2
12 --> |""Yes""|13[""Does end time occur after start time?""]
13 --> |""Yes""|14[""Save event information""]
13 --> |""No""|15[""Display incorrect time notification""]
14 --> 18[""End process""]
15 --> 4"
5,"flowchart LR
0[""Weekly (in time for discounts)""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send Payment Report to Registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out the invoices""]
7 --> 8[""End Process""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3[""Purpose of the order?""]
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]
3 --> |""Confirm Order for Delivery""|8[""End Process""]"
7,"flowchart LR
0[""Start""] --> 1[""Verify RFQ""]
1 --> 2[""Is RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|13[""Analyze RFQ and provide L&M cost estimates""]
3 --> 12[""Provide clarification""]
6[""Is RFQ verified?""] --> |""No""|3
6 --> |""Yes""|7[""Add overhead costs""]
7 --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]
9 --> 10[""End""]
12 --> 21[""Verify RFQ""]
13 --> 14[""Check RFQ again""]
14 --> 6
21 --> 2"
8,"flowchart LR
0[""Receive negotiated conditions""] --> 1[""Check for completeness""]
1 --> 2[""Data complete?""]
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
3 --> 6[""Check reinsurance option""]
4 --> 9[""EndNode""]
6 --> 7[""Finish contract""]
7 --> 9
8[""StartNode""] --> 0"
9,"flowchart LR
0[""Feel Hungry""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 9[""Prepare Ingredients for Dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to the table""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring meal to the table""]
14 --> 15[""Finish lunch""]"
