,0
0,"flowchart LR
1[""Interview Patients""] --> 3[""Create Report""]
2[""File Results and Expertise""] --> 4[""Is external expertise needed?""]
4 --> |""Yes""|6[""Ask for External Expertise""]
6 --> 8[""Expert Responds in Time?""]
7[""Forward Report to Referee""] --> 9[""Fill out check for expenses""]
8 --> |""Yes""|7
8 --> |""No""|6
9 --> 18[""End Process""]
13[""StartNode""] --> 1
13 --> 2"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Are fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
3 --> 8[""EndNode""]
4 --> 9[""Is purchase approved?""]
6[""Notify rejection""] --> 8
7[""Send approval notification""] --> 3
9 --> |""Denied""|6
9 --> |""Approved""|7"
2,"flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
3 --> 6[""Vegetable Categorization""]
5[""Fruit Categorization""] --> 11[""Temperature Weight and Date Center""]
6 --> 11
7[""Milk""] --> 11
8[""Cheese""] --> 11
9[""Non-perishable""] --> 11
10[""Perishable""] --> 11
11 --> 12[""Store Items Based on Item Policy""]"
3,"flowchart LR
1[""Detect Incident""] --> 2[""Check Financial Impact""]
2 --> |""YES""|3[""Open EMS""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot Issue""]
16[""Check if Resolution Known (DBA)""] --> |""NO""|12[""Check with Vendor""]"
4,"flowchart LR
1[""Open event creation page""] --> 2[""Populate the name form""]
2 --> 4[""Populate time forms""]
4 --> 5[""Populate location forms""]
5 --> 7[""Populate additional information""]
7 --> 9[""Configure privacy settings""]
9 --> 11[""Confirm event creation""]
11 --> 12[""Is name form populated?""]
12 --> |""No""|2
12 --> |""Yes""|13[""Does end time occur after start time?""]
13 --> |""Yes""|14[""Save event information""]
13 --> |""No""|15[""Display incorrect time notification""]
15 --> 4"
5,"flowchart LR
0[""Weekly (in time for discounts)""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send Payment Report to Registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send out the invoices""]
7 --> 8[""End Process""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3[""Purpose of the order?""]
3 --> |""Replenish Inventory""|4[""Reserve Inventory""]"
7,"flowchart LR
1[""Verify RFQ""] --> 2[""Is RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
6[""Is RFQ verified?""] --> |""No""|3
7[""Add overhead costs""] --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]"
8,"flowchart LR
0[""Receive negotiated conditions""] --> 1[""Check for completeness""]
1 --> 2[""Data complete?""]
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
3 --> 6[""Check reinsurance option""]
6 --> 7[""Finish contract""]
7 --> 9[""EndNode""]
8[""StartNode""] --> 0"
9,"flowchart LR
0[""Feel Hungry""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 9[""Prepare Ingredients for Dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to the table""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring meal to the table""]
14 --> 15[""Finish lunch""]"
10,"flowchart LR
0[""Customer encounters a problem""] --> 1[""Obtain a detailed description of the problem""]
1 --> 2[""Can I handle the problem myself?""]
2 --> |""Yes""|3[""Explain the solution""]
2 --> |""No""|4[""Send email to support system""]
4 --> 7[""Can I handle the problem myself?""]
4 --> 9[""Wait for an answer to be received""]
7 --> |""Yes""|3
9 --> 3"
11,"flowchart LR
0[""Complete Purchase Order""] --> 1[""Send Invoice""]
0 --> 2[""Send Goods""]
1 --> 3[""Conclude Process""]
2 --> 3
4[""StartNode""] --> 0"
12,"flowchart LR
0[""Prepare Shipment Order""] --> 1[""Send Shipment Order""]
1 --> 2[""Receive Carrier Response""]
2 --> |""Yes""|3[""Accept Shipment Order""]
2 --> |""No""|4[""End (Link A - Acquisition of Carriers)""]
3 --> 5[""Is the shipment order accepted?""]
5 --> |""Yes""|6[""Realize Ordered Shipment""]
6 --> 7[""End""]"
13,"flowchart LR
0[""Order received""] --> 1[""Create invoice""]
0 --> 2[""Prepare shipping""]
1 --> 3[""Send invoice""]
2 --> 4[""Ship item""]
3 --> 5[""Confirm payment""]
4 --> 5
5 --> 7[""End process""]"
14,"flowchart LR
0[""StartNode""] --> 1[""Can fulfill the order?""]
1 --> |""Yes""|2[""Confirm the order""]
1 --> |""No""|3[""Reject the order""]
2 --> 5[""Can fulfill the order?""]
3 --> 4[""Notify order rejected""]
5 --> |""Yes""|6[""Deliver the order""]
5 --> |""No""|3
6 --> 7[""Notify order delivered""]
7 --> 8[""EndNode""]"
15,"flowchart LR
1[""Verify RFQ""] --> 2[""Verification successful?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
3 --> 1
4 --> 5[""Verify RFQ""]
7[""Add overhead cost""] --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]"
16,"flowchart LR
3[""Search Property Title""] --> 8[""End Process""]"
17,"flowchart LR
0[""Change Status""] --> 1[""Is the product on sale?""]
1 --> |""Yes""|6[""Mark product as on sale""]
1 --> |""No""|7[""Mark product as not on sale""]
5[""StartNode""] --> 0
6 --> 8[""EndNode""]"
18,"flowchart LR
0[""Identify Invoice Errors""] --> 1[""Highlight Errors on Entry Form""]
0 --> 2[""Update Record of Mistakes""]
1 --> 3[""Send Invoice Back""]
2 --> 3
3 --> 4[""Conclude the process""]"
