,parent,child,group,type
99,statistic,deviation,5,train
100,statistic,demographic,5,train
101,statistic,average,5,train
102,statistic,nonparametric statistic,5,train
103,statistic,moment,5,train
104,statistic,vital statistics,5,train
105,statistic,parametric statistic,5,train
106,statistic,time series,5,train
107,deviation,outlier,5,train
108,deviation,mean deviation,5,train
109,average,median,5,train
110,average,mean,5,train
111,average,age norm,5,train
112,average,mode,5,train
113,mean,arithmetic mean,5,train
114,mean,harmonic mean,5,train
115,mean,geometric mean,5,train
116,nonparametric statistic,rank-order correlation coefficient,5,train
117,nonparametric statistic,Kendall test,5,train
118,nonparametric statistic,phi coefficient,5,train
119,Kendall test,coefficient of concordance,5,train
120,Kendall test,tau coefficient of correlation,5,train
121,Kendall test,Kendall partial rank correlation,5,train
122,moment,second moment,5,train
123,moment,variance,5,train
124,variance,standard deviation,5,train
125,variance,covariance,5,train
126,parametric statistic,regression coefficient,5,train
127,parametric statistic,correlation coefficient,5,train
128,correlation coefficient,multiple correlation coefficient,5,train
129,correlation coefficient,tetrachoric correlation coefficient,5,train
130,correlation coefficient,product-moment correlation coefficient,5,train
131,correlation coefficient,split-half correlation,5,train
132,correlation coefficient,biserial correlation coefficient,5,train
180,country-dance,landler,8,train
181,country-dance,square dance,8,train
182,country-dance,promenade,8,train
183,country-dance,longways,8,train
184,country-dance,do-si-do,8,train
185,country-dance,sashay,8,train
186,country-dance,swing,8,train
187,square dance,reel,8,train
188,square dance,quadrille,8,train
189,reel,eightsome,8,train
190,reel,highland fling,8,train
191,quadrille,lancers,8,train
192,longways,Virginia reel,8,train
193,drug user,head,9,train
194,drug user,tripper,9,train
195,drug user,addict,9,train
196,head,pill head,9,train
197,head,pothead,9,train
198,head,acid head,9,train
199,head,hash head,9,train
200,addict,drug addict,9,train
201,addict,caffeine addict,9,train
202,addict,speed freak,9,train
203,drug addict,cocaine addict,9,train
204,drug addict,opium addict,9,train
205,drug addict,crack addict,9,train
206,drug addict,withdrawer,9,train
207,drug addict,heroin addict,9,train
208,influence,hypnotism,10,train
209,influence,exposure,10,train
210,influence,enticement,10,train
211,influence,manipulation,10,train
212,influence,impingement,10,train
213,influence,cross-pollination,10,train
214,exposure,overexposure,10,train
215,exposure,underexposure,10,train
216,enticement,blandishment,10,train
217,enticement,leading astray,10,train
218,enticement,solicitation,10,train
219,enticement,seduction,10,train
220,blandishment,ingratiation,10,train
221,manipulation,mind game,10,train
251,coefficient,coefficient of viscosity,13,train
252,coefficient,transmittance,13,train
253,coefficient,drag coefficient,13,train
254,coefficient,coefficient of self induction,13,train
255,coefficient,weight,13,train
256,coefficient,absorption coefficient,13,train
257,coefficient,coefficient of reflection,13,train
258,coefficient,modulus,13,train
259,coefficient,coefficient of mutual induction,13,train
260,coefficient,coefficient of friction,13,train
261,coefficient,coefficient of expansion,13,train
262,modulus,coefficient of elasticity,13,train
263,coefficient of elasticity,bulk modulus,13,train
264,coefficient of elasticity,modulus of rigidity,13,train
265,coefficient of elasticity,Young's modulus,13,train
293,air travel,flight,15,train
294,flight,pass,15,train
295,flight,terrain flight,15,train
296,flight,ballooning,15,train
297,flight,blind flying,15,train
298,flight,solo,15,train
299,flight,acrobatics,15,train
300,flight,overflight,15,train
301,flight,maiden flight,15,train
302,flight,sortie,15,train
303,flight,glide,15,train
304,flight,flyover,15,train
305,acrobatics,tailspin,15,train
306,glide,hang gliding,15,train
307,glide,parasailing,15,train
321,education,elementary education,17,train
322,education,continuing education,17,train
323,education,coeducation,17,train
324,education,course,17,train
325,education,team teaching,17,train
326,education,work-study program,17,train
327,education,higher education,17,train
328,education,secondary education,17,train
329,education,extracurricular activity,17,train
330,education,extension,17,train
331,course,orientation course,17,train
332,course,course of lectures,17,train
333,course,propaedeutic,17,train
334,course,shop class,17,train
335,course,home study,17,train
336,course,childbirth-preparation class,17,train
337,course,seminar,17,train
338,course,refresher course,17,train
339,course,adult education,17,train
340,course,directed study,17,train
341,course,extension course,17,train
342,course,correspondence course,17,train
343,course,elective course,17,train
344,course,required course,17,train
345,course,workshop,17,train
346,course,industrial arts,17,train
347,course,art class,17,train
348,art class,life class,17,train
349,extracurricular activity,dramatics,17,train
350,extracurricular activity,athletics,17,train
470,New World monkey,squirrel monkey,24,train
471,New World monkey,howler monkey,24,train
472,New World monkey,titi,24,train
473,New World monkey,uakari,24,train
474,New World monkey,capuchin,24,train
475,New World monkey,woolly monkey,24,train
476,New World monkey,marmoset,24,train
477,New World monkey,spider monkey,24,train
478,New World monkey,saki,24,train
479,New World monkey,douroucouli,24,train
480,marmoset,tamarin,24,train
481,marmoset,pygmy marmoset,24,train
482,marmoset,true marmoset,24,train
483,tamarin,silky tamarin,24,train
484,tamarin,pinche,24,train
538,agglomeration,ball,28,train
539,agglomeration,bunch,28,train
540,ball,clew,28,train
541,ball,clot,28,train
542,ball,gob,28,train
543,clot,embolus,28,train
544,clot,thrombus,28,train
545,bunch,Omega Centauri,28,train
546,bunch,Pleiades,28,train
547,bunch,knot,28,train
548,bunch,Northern Cross,28,train
549,bunch,swad,28,train
550,bunch,tuft,28,train
551,tuft,witches' broom,28,train
552,tuft,coma,28,train
553,tuft,wisp,28,train
633,feather,marabou,33,train
634,feather,contour feather,33,train
635,feather,aftershaft,33,train
636,feather,hackle,33,train
637,feather,bastard wing,33,train
638,feather,down,33,train
639,feather,scapular,33,train
640,feather,flight feather,33,train
641,hackle,saddle hackle,33,train
642,down,goose down,33,train
643,down,plumule,33,train
644,down,duck down,33,train
645,down,swan's down,33,train
646,duck down,eiderdown,33,train
647,flight feather,primary,33,train
648,flight feather,tail feather,33,train
649,tail feather,sickle feather,33,train
676,success,winning,36,train
677,success,passing,36,train
678,success,seduction,36,train
679,success,bell ringer,36,train
680,success,conquest,36,train
681,success,flying colors,36,train
682,success,hit,36,train
683,success,coup,36,train
684,success,solution,36,train
685,success,score,36,train
686,success,overturn,36,train
687,seduction,sexual conquest,36,train
688,sexual conquest,cuckoldry,36,train
689,hit,blockbuster,36,train
690,hit,sleeper,36,train
691,score,strike,36,train
692,score,spare,36,train
693,score,goal,36,train
694,score,conversion,36,train
695,score,equalizer,36,train
696,score,field goal,36,train
697,score,basket,36,train
698,score,run,36,train
699,score,bull's eye,36,train
700,score,open frame,36,train
701,score,touchdown,36,train
702,score,break,36,train
703,score,safety,36,train
704,score,hat trick,36,train
705,goal,own goal,36,train
706,conversion,point after,36,train
707,run,earned run,36,train
708,run,run batted in,36,train
709,run,unearned run,36,train
844,flap,codpiece,42,train
845,flap,pocket flap,42,train
846,flap,lap,42,train
847,flap,tent-fly,42,train
848,flap,earflap,42,train
849,flap,jag,42,train
850,flap,coattail,42,train
851,flap,tongue,42,train
852,flap,barndoor,42,train
853,lap,cuff,42,train
854,lap,lappet,42,train
855,lap,lapel,42,train
856,cuff,trouser cuff,42,train
857,lapel,revers,42,train
1154,nonsteroidal anti-inflammatory,meclofenamate,58,train
1155,nonsteroidal anti-inflammatory,oxaprozin,58,train
1156,nonsteroidal anti-inflammatory,naproxen,58,train
1157,nonsteroidal anti-inflammatory,nabumetone,58,train
1158,nonsteroidal anti-inflammatory,fenoprofen,58,train
1159,nonsteroidal anti-inflammatory,etodolac,58,train
1160,nonsteroidal anti-inflammatory,diclofenac sodium,58,train
1161,nonsteroidal anti-inflammatory,tolmetin sodium,58,train
1162,nonsteroidal anti-inflammatory,ibuprofen,58,train
1163,nonsteroidal anti-inflammatory,diclofenac potassium,58,train
1164,nonsteroidal anti-inflammatory,salicylate,58,train
1165,nonsteroidal anti-inflammatory,sulindac,58,train
1166,nonsteroidal anti-inflammatory,ketorolac tromethamine,58,train
1167,nonsteroidal anti-inflammatory,piroxicam,58,train
1168,nonsteroidal anti-inflammatory,ketoprofen,58,train
1169,nonsteroidal anti-inflammatory,indomethacin,58,train
1170,nonsteroidal anti-inflammatory,ketorolac,58,train
1171,nonsteroidal anti-inflammatory,flurbiprofen,58,train
1172,nonsteroidal anti-inflammatory,diflunisal,58,train
1173,nonsteroidal anti-inflammatory,naproxen sodium,58,train
1174,nonsteroidal anti-inflammatory,mefenamic acid,58,train
1175,salicylate,aspirin,58,train
1176,salicylate,methyl salicylate,58,train
1177,salicylate,salol,58,train
1178,aspirin,aspirin powder,58,train
1179,aspirin,buffered aspirin,58,train
1180,aspirin,enteric-coated aspirin,58,train
1294,fragment,spall,64,train
1295,fragment,ember,64,train
1296,fragment,bit,64,train
1297,fragment,paring,64,train
1298,fragment,filing,64,train
1299,fragment,cinder,64,train
1300,fragment,brickbat,64,train
1301,fragment,scraping,64,train
1302,fragment,clast,64,train
1303,fragment,restriction fragment,64,train
1304,fragment,spark,64,train
1305,bit,splinter,64,train
1306,bit,scurf,64,train
1307,bit,scale,64,train
1308,bit,matchwood,64,train
1309,scale,dandruff,64,train
1310,scale,dander,64,train
1311,paring,splint,64,train
1312,paring,turning,64,train
1313,filing,metal filing,64,train
1314,metal filing,iron filing,64,train
1550,native,Seychellois,78,train
1551,native,Filipino,78,train
1552,native,Russian,78,train
1553,native,Levantine,78,train
1554,native,Mauritian,78,train
1555,Filipino,Moro,78,train
