,group,child,parent
0,10,manipulation,influence
1,10,solicitation,influence
2,10,ingratiation,influence
3,10,enticement,influence
4,10,seduction,influence
5,10,exposure,influence
6,10,cross-pollination,influence
7,10,mind game,manipulation
8,10,hypnotism,manipulation
9,10,blandishment,ingratiation
10,10,underexposure,exposure
11,10,overexposure,exposure
12,10,impingement,solicitation
13,10,leading astray,solicitation
14,101,hut,shelter
15,101,tent,shelter
16,101,refuge,shelter
17,101,haven,shelter
18,101,harbor,shelter
19,101,loft,shelter
20,101,safe house,shelter
21,101,fallout shelter,shelter
22,101,canvas tent,tent
23,101,bell tent,tent
24,101,pup tent,tent
25,101,lean-to tent,tent
26,101,pyramidal tent,tent
27,101,cottage tent,tent
28,101,fly tent,tent
29,101,two-man tent,tent
30,101,Sibley tent,tent
31,101,umbrella tent,tent
32,101,pop tent,tent
33,101,backpacking tent,tent
34,101,mountain tent,tent
35,101,wall tent,tent
36,101,circus tent,tent
37,101,Nissen hut,hut
38,101,mudhif,hut
39,101,igloo,hut
40,101,cabana,hut
41,101,tupik,hut
42,101,tepee,hut
43,101,mantelet,hut
44,101,hovel,shelter
45,101,cookhouse,shelter
46,101,praetorium,safe house
47,101,safehold,safe house
48,101,storm cellar,refuge
49,101,dugout,refuge
50,101,field tent,refuge
51,101,pavilion,shelter
52,101,sconce,shelter
53,105,drum,percussion instrument
54,105,cymbal,percussion instrument
55,105,gong,percussion instrument
56,105,chime,percussion instrument
57,105,bell,percussion instrument
58,105,marimba,percussion instrument
59,105,piano,percussion instrument
60,105,glockenspiel,percussion instrument
61,105,bass drum,drum
62,105,snare drum,drum
63,105,tenor drum,drum
64,105,tabor,drum
65,105,bongo,drum
66,105,steel drum,drum
67,105,tambour,drum
68,105,high-hat cymbal,cymbal
69,105,zill,cymbal
70,105,handbell,bell
71,105,vibraphone,glockenspiel
72,105,upright,piano
73,105,concert grand,piano
74,105,grand piano,piano
75,105,baby grand,piano
76,105,spinet,piano
77,105,triangle,percussion instrument
78,105,timbrel,percussion instrument
79,105,tambourine,percussion instrument
80,105,lagerphone,percussion instrument
81,105,bones,percussion instrument
82,105,maraca,percussion instrument
83,105,rain stick,percussion instrument
84,105,carillon,percussion instrument
85,105,kettle,percussion instrument
86,105,mechanical piano,piano
87,13,modulus,coefficient
88,13,coefficient of viscosity,coefficient
89,13,coefficient of friction,coefficient
90,13,coefficient of expansion,coefficient
91,13,coefficient of reflection,coefficient
92,13,coefficient of self induction,coefficient
93,13,coefficient of mutual induction,coefficient
94,13,drag coefficient,coefficient
95,13,absorption coefficient,coefficient
96,13,coefficient of elasticity,coefficient
97,13,Young's modulus,modulus
98,13,bulk modulus,modulus
99,13,modulus of rigidity,modulus
100,13,transmittance,coefficient
101,13,weight,coefficient
102,137,microcytic anemia,anemia
