,group,child,parent
0,10,ingratiation,influence
1,10,blandishment,ingratiation
2,10,enticement,influence
3,10,solicitation,enticement
4,10,hypnotism,influence
5,10,manipulation,influence
6,10,exposure,influence
7,10,overexposure,exposure
8,10,underexposure,exposure
9,10,impingement,overexposure
10,10,cross-pollination,influence
11,10,seduction,influence
12,10,leading astray,influence
13,101,canvas tent,tent
14,101,sconce,tent
15,101,igloo,tent
16,101,hut,tent
17,101,storm cellar,tent
18,101,dugout,tent
19,101,Nissen hut,tent
20,101,fly tent,tent
21,101,pup tent,tent
22,101,cottage tent,tent
23,101,bell tent,tent
24,101,pyramidal tent,tent
25,101,wall tent,tent
26,101,umbrella tent,tent
27,101,two-man tent,canvas tent
28,101,lean-to tent,canvas tent
29,101,circus tent,canvas tent
30,101,Sibley tent,canvas tent
31,101,tepee,canvas tent
32,101,praetorium,canvas tent
33,101,backpacking tent,canvas tent
34,101,mountain tent,canvas tent
35,101,haven,shelter
36,101,safe house,shelter
37,101,harbor,shelter
38,101,refuge,shelter
39,101,safehold,shelter
40,101,cookhouse,field tent
41,101,mantelet,field tent
42,101,fallout shelter,shelter
43,101,mudhif,hut
44,101,hovel,hut
45,101,cabana,hut
46,105,percussion instrument,percussion instrument
47,105,drum,percussion instrument
48,105,cymbal,percussion instrument
49,105,gong,percussion instrument
50,105,triangle,percussion instrument
51,105,tambourine,percussion instrument
52,105,maraca,percussion instrument
53,105,bongo,percussion instrument
54,105,handbell,percussion instrument
55,105,tabor,percussion instrument
56,105,bones,percussion instrument
57,105,timbrel,percussion instrument
58,105,lagerphone,percussion instrument
59,105,steel drum,percussion instrument
60,105,vibraphone,percussion instrument
61,105,marimba,percussion instrument
62,105,glockenspiel,percussion instrument
63,105,zill,percussion instrument
64,105,carillon,percussion instrument
65,105,kettle,percussion instrument
66,105,bass drum,drum
67,105,snare drum,drum
68,105,tenor drum,drum
69,105,high-hat cymbal,drum
70,105,piano,percussion instrument
71,105,mechanical piano,piano
72,105,baby grand,piano
73,105,upright,piano
74,105,concert grand,piano
75,105,spinet,piano
76,105,chime,percussion instrument
77,105,handbell,chime
78,105,carillon,chime
79,13,coefficient of viscosity,coefficient
80,13,coefficient of reflection,coefficient
81,13,coefficient of expansion,coefficient
82,13,coefficient of friction,coefficient
83,13,coefficient of elasticity,coefficient
84,13,coefficient of mutual induction,coefficient
85,13,coefficient of self induction,coefficient
86,13,coefficient of absorption,coefficient
87,13,modulus,coefficient
88,13,Young's modulus,modulus
89,13,modulus of rigidity,modulus
90,13,bulk modulus,modulus
91,13,drag coefficient,coefficient
92,13,transmittance,coefficient
93,13,weight,coefficient
94,137,hypoplastic anemia,anemia
95,137,hypochromic anemia,anemia
96,137,refractory anemia,anemia
97,137,hyperchromic anemia,anemia
98,137,macrocytic anemia,anemia
99,137,microcytic anemia,anemia
100,137,iron deficiency anemia,microcytic anemia
101,137,thalassemia,microcytic anemia
102,137,sideroblastic anemia,microcytic anemia
103,137,hemolytic anemia,anemia
104,137,favism,hemolytic anemia
105,137,erythroblastosis fetalis,hemolytic anemia
106,137,aplastic anemia,anemia
107,137,Fanconi's anemia,aplastic anemia
108,137,chlorosis,aplastic anemia
109,137,ischemia,anemia
110,137,ischemic stroke,ischemia
111,137,transient ischemic attack,ischemia
112,137,sickle-cell anemia,anemia
113,137,Cooley's anemia,sickle-cell anemia
114,137,megaloblastic anemia,macrocytic anemia
115,137,pernicious anemia,megaloblastic anemia
116,138,marriage,marital status
117,138,civil union,marriage
118,138,common-law marriage,marriage
119,138,open marriage,marriage
120,138,marriage of convenience,marriage
121,138,serial monogamy,marriage
122,138,polygamy,marriage
123,138,polygyny,polygamy
124,138,polyandry,polygamy
125,138,bigamy,polygamy
126,138,monogyny,polygamy
127,138,monogamy,marriage
128,138,endogamy,marriage
129,138,exogamy,marriage
130,138,misalliance,marriage
131,138,mesalliance,marriage
132,138,sigeh,marriage
133,138,bachelorhood,marital status
134,138,spinsterhood,marital status
135,138,widowhood,marital status
136,138,cuckoldom,marital status
137,15,air travel,flight
138,15,ballooning,flight
139,15,sortie,air travel
140,15,overflight,air travel
141,15,hang gliding,flight
142,15,parasailing,hang gliding
143,15,solo,flight
144,15,maiden flight,flight
145,15,terrain flight,flight
146,15,flyover,terrain flight
147,15,glide,terrain flight
148,15,pass,terrain flight
149,15,blind flying,terrain flight
150,15,acrobatics,flight
151,15,tailspin,flight
152,150,joke,humor
153,150,sick joke,joke
