,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Permutations and combinations,Combinatorics
2,10002950_1,Enumeration,Combinatorics
3,10002950_1,Combinatorial algorithms,Combinatorics
4,10002950_1,Combinatorial optimization,Combinatorics
5,10002950_1,Combinatoric problems,Combinatorics
6,10002950_1,Combinatorics on words,Combinatorics
7,10002950_1,Graph theory,Discrete mathematics
8,10002950_1,Graph algorithms,Graph theory
9,10002950_1,Graph enumeration,Graph theory
10,10002950_1,Graph coloring,Graph theory
11,10002950_1,Graphs and surfaces,Graph theory
12,10002950_1,Network flows,Graph theory
13,10002950_1,Trees,Graph theory
14,10002950_1,Matchings and factors,Graph theory
15,10002950_1,Random graphs,Graph theory
16,10002950_1,Hypergraphs,Graph theory
17,10002950_1,Extremal graph theory,Graph theory
18,10002950_1,Paths and connectivity problems,Graph theory
19,10002950_1,Approximation algorithms,Combinatorial optimization
20,10002950_1,Matroids and greedoids,Combinatorial optimization
21,10002950_4,Continuous optimization,Mathematical optimization
22,10002950_4,Discrete optimization,Mathematical optimization
23,10002950_4,Convex optimization,Continuous optimization
24,10002950_4,Nonconvex optimization,Continuous optimization
25,10002950_4,Numerical analysis,Mathematical optimization
26,10002950_4,Computations on matrices,Numerical analysis
27,10002950_4,Computations on polynomials,Numerical analysis
28,10002950_4,Computations in finite fields,Numerical analysis
29,10002950_4,Interval arithmetic,Numerical analysis
30,10002950_4,Randomized local search,Numerical analysis
31,10002950_4,Automatic differentiation,Numerical analysis
32,10002950_4,Numerical differentiation,Numerical analysis
33,10002950_4,Approximation,Numerical analysis
34,10002950_4,Differential equations,Continuous optimization
35,10002950_4,Ordinary differential equations,Differential equations
36,10002950_4,Partial differential equations,Differential equations
37,10002950_4,Differential algebraic equations,Differential equations
38,10002950_4,Differential calculus,Calculus
39,10002950_4,Integral calculus,Calculus
40,10002950_4,Calculus,Mathematical analysis
41,10002950_4,Mathematical analysis,Mathematical optimization
42,10002950_4,Stochastic control and optimization,Mathematical optimization
43,10002950_4,Mesh generation,Numerical analysis
44,10002950_4,Interpolation,Numerical analysis
45,10002950_4,Network optimization,Discrete optimization
46,10002950_4,Genetic programming,Evolutionary algorithms
47,10002950_4,Evolutionary algorithms,Mathematical optimization
48,10002950_4,Simulated annealing,Evolutionary algorithms
49,10002950_4,Tabu search,Evolutionary algorithms
50,10002950_4,Non-parametric optimization,Mathematical optimization
51,10002950_4,Mixed discrete-continuous optimization,Mathematical optimization
52,10002950_4,Submodular optimization and polymatroids,Discrete optimization
53,10002950_4,Quadratic programming,Discrete optimization
54,10002950_4,Integer programming,Discrete optimization
55,10002950_4,Linear programming,Discrete optimization
56,10002950_4,Quasiconvex programming and unimodality,Continuous optimization
57,10002950_4,Bio-inspired optimization,Mathematical optimization
58,10002950_4,Gr???bner bases and other special bases,Algebraic computations
59,10002950_4,Computation of transforms,Numerical analysis
60,10002950_4,Differential variational inequalities,Continuous optimization
61,10002950_5,Point-set topology,Topology
62,10002950_5,Geometric topology,Topology
63,10002950_5,Algebraic topology,Topology
64,10002950_5,Continuous mathematics,Topology
65,10002950_5,Continuous functions,Continuous mathematics
66,10002950_5,Calculus,Continuous mathematics
67,10002951_3,Data Management,Information Systems and Computing
68,10002951_3,Data Warehouses,Data Management
69,10002951_3,Data Centers,Data Management
70,10002951_3,Data Mining,Data Management
71,10002951_3,Data Stream Mining,Data Management
72,10002951_3,Data Cleaning,Data Management
73,10002951_3,Data Analytics,Data Management
74,10002951_3,Online Analytical Processing,Data Management
75,10002951_3,Data Streaming,Data Management
76,10002951_3,Multimedia Systems,Information Systems and Computing
77,10002951_3,Multimedia Information Systems,Multimedia Systems
78,10002951_3,Multimedia Streaming,Multimedia Systems
79,10002951_3,Multimedia Databases,Multimedia Systems
80,10002951_3,Multimedia Content Creation,Multimedia Systems
81,10002951_3,Social and Collaborative Systems,Information Systems and Computing
82,10002951_3,Social Networking Sites,Social and Collaborative Systems
83,10002951_3,Blogs,Social and Collaborative Systems
84,10002951_3,Wikis,Social and Collaborative Systems
85,10002951_3,Social Tagging Systems,Social and Collaborative Systems
86,10002951_3,Reputation Systems,Social and Collaborative Systems
87,10002951_3,Collaborative Filtering,Social and Collaborative Systems
88,10002951_3,Collaborative and Social Computing Systems and Tools,Social and Collaborative Systems
89,10002951_3,Geographic Information Systems,Information Systems and Computing
90,10002951_3,Global Positioning Systems,Geographic Information Systems
91,10002951_3,Location-Based Services,Geographic Information Systems
92,10002951_3,Spatial-Temporal Systems,Geographic Information Systems
93,10002951_3,Enterprise Systems,Information Systems and Computing
94,10002951_3,Enterprise Resource Planning,Enterprise Systems
95,10002951_3,Enterprise Information Systems,Enterprise Systems
96,10002951_3,Enterprise Applications,Enterprise Systems
97,10002951_3,Computing Technologies,Information Systems and Computing
