,child,parent,group
0,wired_access_networks,network_types,10003033_8
1,wireless_access_networks,network_types,10003033_8
2,data_center_networks,network_types,10003033_8
3,sensor_networks,network_types,10003033_8
4,packet-switching_networks,network_types,10003033_8
5,peer-to-peer_networks,network_types,10003033_8
6,overlay_and_other_logical_network_structures,network_types,10003033_8
7,public_internet,network_types,10003033_8
8,cyber-physical_networks,network_types,10003033_8
0,smart_grid,energy_distribution,10010583_5
1,renewable_energy,energy_generation_and_storage,10010583_5
2,fuel-based_energy,energy_generation_and_storage,10010583_5
3,batteries,energy_generation_and_storage,10010583_5
4,reusable_energy_storage,energy_generation_and_storage,10010583_5
5,energy_generation_and_storage,power_and_energy,10010583_5
6,energy_distribution,power_and_energy,10010583_5
0,concurrent_algorithms,concurrent_computing_methodologies,10010147_8
1,concurrent_programming_languages,concurrent_computing_methodologies,10010147_8
0,logic_circuits,integrated_circuits,10010583_3
1,hardware_accelerators,integrated_circuits,10010583_3
2,interconnect,integrated_circuits,10010583_3
3,design_modules_and_hierarchy,integrated_circuits,10010583_3
4,transistors,integrated_circuits,10010583_3
5,metallic_interconnect,interconnect,10010583_3
6,photonic_and_optical_interconnect,interconnect,10010583_3
7,radio_frequency_and_wireless_interconnect,interconnect,10010583_3
8,combinational_circuits,logic_circuits,10010583_3
9,sequential_circuits,logic_circuits,10010583_3
0,network_resources_allocation,network_algorithms,10003033_4
1,traffic_engineering_algorithms,network_algorithms,10003033_4
2,network_design_and_planning_algorithms,network_algorithms,10003033_4
3,network_control_algorithms,network_algorithms,10003033_4
4,deep_packet_inspection,network_algorithms,10003033_4
5,packet_classification,network_algorithms,10003033_4
6,network_economics,network_algorithms,10003033_4
7,control_path_algorithms,network_algorithms,10003033_4
8,data_path_algorithms,network_algorithms,10003033_4
0,abstract_machines,models_of_computation,10003752_1
1,concurrency,models_of_computation,10003752_1
2,distributed_computing_models,models_of_computation,10003752_1
3,quantum_computation_theory,models_of_computation,10003752_1
4,probabilistic_computation,models_of_computation,10003752_1
5,interactive_computation,models_of_computation,10003752_1
6,streaming_models,models_of_computation,10003752_1
7,timed_and_hybrid_models,models_of_computation,10003752_1
8,recursive_functions,models_of_computation,10003752_1
9,parallel_computing_models,models_of_computation,10003752_1
10,turing_machines,models_of_computation,10003752_1
11,lambda_calculus,models_of_computation,10003752_1
12,quantum_query_complexity,quantum_computation_theory,10003752_1
13,quantum_communication_complexity,quantum_computation_theory,10003752_1
14,quantum_complexity_theory,quantum_computation_theory,10003752_1
15,quantum_information_theory,quantum_computation_theory,10003752_1
0,enumeration,combinatorics,10002950_1
1,generating_functions,combinatorics,10002950_1
2,combinatoric_problems,combinatorics,10002950_1
3,permutations_and_combinations,combinatorics,10002950_1
