,group,child,parent
0,10,manipulation,influence
1,10,hypnotism,influence
2,10,solicitation,influence
3,10,enticement,influence
4,10,seduction,influence
5,10,ingratiation,influence
6,10,blandishment,influence
7,10,mind game,influence
8,10,cross-pollination,influence
9,10,exposure,influence
10,10,overexposure,exposure
11,10,underexposure,exposure
12,10,impingement,influence
13,10,leading astray,influence
14,101,tent,shelter
15,101,backpacking tent,tent
16,101,field tent,tent
17,101,pyramidal tent,tent
18,101,cottage tent,tent
19,101,mantelet,tent
20,101,tepee,tent
21,101,mountain tent,tent
22,101,fly tent,tent
23,101,cookhouse,tent
24,101,safehold,shelter
25,101,praetorium,shelter
26,101,harbor,shelter
27,101,sconce,shelter
28,101,refuge,shelter
29,101,wall tent,tent
30,101,tupik,tent
31,101,pup tent,tent
32,101,dugout,shelter
33,101,fallout shelter,shelter
34,101,two-man tent,tent
35,101,hovel,shelter
36,101,cabana,shelter
37,101,haven,shelter
38,101,Sibley tent,tent
39,101,hut,shelter
40,101,mudhif,shelter
41,101,canvas tent,tent
42,101,igloo,shelter
43,101,lean-to tent,tent
44,101,pop tent,tent
45,101,storm cellar,shelter
46,101,loft,shelter
47,101,Nissen hut,shelter
48,101,pavilion,shelter
49,101,circus tent,tent
50,101,bell tent,tent
51,105,percussion instrument,musical instrument
52,105,piano,musical instrument
53,105,keyboard instrument,musical instrument
54,105,drum,percussion instrument
55,105,bongo,percussion instrument
56,105,snare drum,drum
57,105,bass drum,drum
58,105,tenor drum,drum
59,105,tambourine,percussion instrument
60,105,tambour,percussion instrument
61,105,cymbal,percussion instrument
62,105,high-hat cymbal,cymbal
63,105,gong,percussion instrument
64,105,rain stick,percussion instrument
65,105,maraca,percussion instrument
66,105,bones,percussion instrument
67,105,chime,percussion instrument
68,105,vibraphone,percussion instrument
69,105,marimba,percussion instrument
70,105,glockenspiel,percussion instrument
71,105,lagerphone,percussion instrument
72,105,zill,percussion instrument
73,105,carillon,percussion instrument
74,105,mechanical piano,musical instrument
75,105,grand piano,piano
76,105,concert grand,grand piano
77,105,baby grand,grand piano
78,105,upright,piano
79,105,spinet,piano
80,105,tabor,percussion instrument
81,105,steel drum,percussion instrument
82,105,handbell,percussion instrument
83,13,coefficient,modulus
84,13,drag coefficient,coefficient
85,13,coefficient of self induction,coefficient
86,13,modulus of rigidity,modulus
