,group,child,parent
0,10,hypnotism,influence
1,10,manipulation,influence
2,10,mind game,manipulation
3,10,leading astray,manipulation
4,10,solicitation,influence
5,10,enticement,influence
6,10,seduction,enticement
7,10,ingratiation,influence
8,10,blandishment,influence
9,10,cross-pollination,influence
10,10,impingement,influence
11,10,exposure,influence
12,10,underexposure,exposure
13,10,overexposure,exposure
14,101,tent,shelter
15,101,pop tent,tent
16,101,two-man tent,tent
17,101,pyramidal tent,tent
18,101,bell tent,tent
19,101,Sibley tent,tent
20,101,backpacking tent,tent
21,101,field tent,tent
22,101,mountain tent,tent
23,101,lean-to tent,tent
24,101,umbrella tent,tent
25,101,circus tent,tent
26,101,canvas tent,tent
27,101,fly tent,tent
28,101,cottage tent,tent
29,101,tepee,tent
30,101,hut,shelter
31,101,Nissen hut,hut
32,101,hovel,hut
33,101,cabana,hut
34,101,dugout,hut
35,101,mudhif,hut
36,101,safehold,shelter
37,101,refuge,shelter
38,101,safe house,shelter
39,101,storm cellar,shelter
40,101,fallout shelter,shelter
41,101,pavilion,shelter
42,101,harbor,shelter
43,101,loft,shelter
44,101,mantelet,shelter
45,101,sconce,shelter
46,101,haven,shelter
47,101,praetorium,shelter
48,101,tupik,shelter
49,105,percussion instrument,musical instrument
50,105,keyboard instrument,musical instrument
51,105,carillon,musical instrument
52,105,steel drum,percussion instrument
53,105,vibraphone,percussion instrument
54,105,marimba,percussion instrument
55,105,bongo,percussion instrument
56,105,snare drum,percussion instrument
57,105,bass drum,percussion instrument
58,105,handbell,percussion instrument
59,105,tambourine,percussion instrument
60,105,tambour,percussion instrument
61,105,gong,percussion instrument
62,105,cymbal,percussion instrument
63,105,high-hat cymbal,percussion instrument
64,105,tenor drum,percussion instrument
65,105,triangle,percussion instrument
66,105,maraca,percussion instrument
67,105,rain stick,percussion instrument
68,105,tabor,percussion instrument
69,105,chime,percussion instrument
70,105,lagerphone,percussion instrument
71,105,piano,keyboard instrument
72,105,concert grand,piano
73,105,baby grand,piano
74,105,spinet,piano
75,105,mechanical piano,piano
76,105,upright,piano
77,105,grand piano,piano
