,group,child,parent
0,10,manipulation,influence
1,10,enticement,influence
2,10,seduction,influence
3,10,ingratiation,influence
4,10,hypnotism,influence
5,10,solicitation,influence
6,10,blandishment,influence
7,10,mind game,manipulation
8,10,exposure,influence
9,10,overexposure,exposure
10,10,underexposure,exposure
11,10,cross-pollination,influence
12,10,impingement,influence
13,10,leading astray,influence
14,101,tent,shelter
15,101,hut,shelter
16,101,dugout,shelter
17,101,igloo,shelter
18,101,praetorium,shelter
19,101,cookhouse,shelter
20,101,safe house,shelter
21,101,storm cellar,shelter
22,101,harbor,shelter
23,101,backpacking tent,tent
24,101,cottage tent,tent
25,101,umbrella tent,tent
26,101,mountain tent,tent
27,101,pup tent,tent
28,101,field tent,tent
29,101,pavilion,tent
30,101,canvas tent,tent
31,101,fly tent,tent
32,101,pop tent,tent
33,101,wall tent,tent
34,101,bell tent,tent
35,101,two-man tent,tent
36,101,Sibley tent,tent
37,101,Nissen hut,hut
38,101,mudhif,hut
39,101,tepee,hut
40,101,tupik,hut
41,101,sconce,hut
42,101,loft,hut
43,101,refuge,shelter
44,101,safehold,shelter
45,101,haven,shelter
46,105,string instruments,musical instrument
47,105,percussion instruments,musical instrument
48,105,grand piano,string instruments
49,105,baby grand,string instruments
50,105,concert grand,string instruments
51,105,upright,string instruments
52,105,spinet,string instruments
53,105,drum,percussion instruments
54,105,cymbal,percussion instruments
55,105,bass drum,drum
56,105,snare drum,drum
57,105,tenor drum,drum
58,105,bongo,drum
59,105,tabor,drum
60,105,high-hat cymbal,cymbal
61,105,gong,cymbal
62,105,tambourine,percussion instruments
63,105,tambour,percussion instruments
64,105,marimba,percussion instruments
65,105,vibraphone,percussion instruments
66,105,glockenspiel,percussion instruments
67,105,carillon,percussion instruments
68,105,chime,percussion instruments
69,105,zill,percussion instruments
70,105,rain stick,percussion instruments
71,105,triangle,percussion instruments
72,105,steel drum,percussion instruments
73,105,maraca,percussion instruments
74,105,bones,percussion instruments
75,105,lagerphone,percussion instruments
76,13,coefficient,coefficient
77,13,coefficient of self induction,coefficient
78,13,drag coefficient,coefficient
79,13,coefficient of mutual induction,coefficient
80,13,coefficient of expansion,coefficient
81,13,coefficient of elasticity,coefficient
82,13,coefficient of viscosity,coefficient
83,13,coefficient of reflection,coefficient
84,13,coefficient of friction,coefficient
85,13,coefficient of absorption,coefficient
86,13,modulus,coefficient
87,13,Young's modulus,modulus
88,13,bulk modulus,modulus
89,13,modulus of rigidity,modulus
90,13,transmittance,modulus
91,13,weight,coefficient
92,137,iron deficiency anemia,anemia
93,137,hypoplastic anemia,anemia
94,137,hypochromic anemia,anemia
95,137,hemolytic anemia,anemia
96,137,aplastic anemia,anemia
97,137,pernicious anemia,anemia
98,137,microcytic anemia,anemia
99,137,megaloblastic anemia,anemia
100,137,refractory anemia,anemia
101,137,hyperchromic anemia,anemia
102,137,sickle-cell anemia,anemia
103,137,thalassemia,anemia
104,137,Cooley's anemia,thalassemia
105,137,metaplastic anemia,anemia
106,137,sideroblastic anemia,anemia
107,137,macrocytic anemia,anemia
108,137,ischemia,anemia
109,137,transient ischemic attack,ischemia
110,137,ischemic stroke,ischemia
111,137,chlorosis,anemia
112,137,erythroblastosis fetalis,anemia
113,137,favism,anemia
114,138,monogamy,marriage
115,138,polygamy,marriage
116,138,civil union,marriage
117,138,marital status,marriage
118,138,endogamy,marriage
119,138,exogamy,marriage
120,138,monogyny,monogamy
121,138,monandry,monogamy
122,138,serial monogamy,monogamy
123,138,polygyny,polygamy
124,138,polyandry,polygamy
125,138,bigamy,polygamy
126,138,common-law marriage,marriage
127,138,marriage of convenience,marriage
128,138,open marriage,marriage
129,138,bachelorhood,marital status
130,138,spinsterhood,marital status
131,138,widowhood,marital status
132,138,cuckoldom,marital status
133,138,misalliance,marriage
134,138,mesalliance,marriage
135,138,sigeh,marriage
136,15,air travel,flight
137,15,maiden flight,flight
138,15,hang gliding,flight
139,15,ballooning,flight
140,15,parasailing,flight
141,15,terrain flight,flight
142,15,blind flying,flight
143,15,acrobatics,flight
144,15,sortie,flight
145,15,solo,flight
146,15,flyover,flight
147,15,overflight,flight
148,15,tailspin,flight
149,15,pass,flight
150,150,joke,root
151,150,sick joke,joke
152,150,ethnic joke,joke
153,150,dirty joke,joke
154,150,ribaldry,joke
155,150,shaggy dog story,joke
156,150,parody,joke
157,150,caricature,joke
158,150,cartoon,joke
159,150,comic strip,joke
160,150,pun,wit
161,150,wit,joke
162,150,sarcasm,wit
163,150,pungency,wit
164,150,bon mot,wit
165,150,drollery,joke
166,150,badinage,drollery
167,150,banter,drollery
168,150,repartee,drollery
169,150,esprit de l'escalier,drollery
170,150,sight gag,joke
171,150,one-liner,joke
172,150,topper,joke
173,150,mock-heroic,joke
174,150,jocosity,joke
175,150,fun,joke
176,150,belly laugh,fun
177,150,waggery,joke
178,17,higher education,education
179,17,adult education,higher education
180,17,continuing education,higher education
181,17,seminar,higher education
182,17,secondary education,education
183,17,required course,secondary education
184,17,elective course,secondary education
185,17,shop class,secondary education
186,17,elementary education,education
187,17,extracurricular activity,education
188,17,athletics,extracurricular activity
189,17,art class,extracurricular activity
190,17,dramatics,extracurricular activity
191,17,life class,extracurricular activity
192,17,directed study,education
193,17,work-study program,directed study
194,17,correspondence course,directed study
195,17,extension course,directed study
196,17,workshop,directed study
197,17,propaedeutic,education
198,17,orientation course,education
199,17,childbirth-preparation class,education
200,171,woodpecker,piciform bird
201,171,flicker,woodpecker
202,171,sapsucker,woodpecker
203,171,downy woodpecker,woodpecker
204,171,red-breasted sapsucker,sapsucker
205,171,redheaded woodpecker,woodpecker
206,171,green woodpecker,woodpecker
207,171,yellow-bellied sapsucker,sapsucker
208,171,yellow-shafted flicker,flicker
209,171,gilded flicker,flicker
210,171,red-shafted flicker,flicker
211,171,toucan,piciform bird
212,171,toucanet,toucan
213,171,puffbird,piciform bird
214,171,barbet,piciform bird
215,171,jacamar,piciform bird
216,171,ivorybill,woodpecker
217,171,wryneck,woodpecker
218,171,piculet,woodpecker
219,177,murre,auk
220,177,guillemot,murre
221,177,common murre,murre
222,177,thick-billed murre,murre
223,177,pigeon guillemot,murre
224,177,black guillemot,guillemot
225,177,auklet,auk
226,177,razorbill,auk
227,177,great auk,auk
228,177,little auk,auk
229,180,apple tree,apple
230,180,crab apple,apple
231,180,wild crab,crab apple
232,180,Iowa crab,crab apple
233,180,Southern crab apple,crab apple
234,180,Bechtel crab,crab apple
235,180,American crab apple,crab apple
236,180,Oregon crab apple,crab apple
237,180,Siberian crab,crab apple
238,180,wild apple,apple
239,184,groundbreaking,initiation
240,184,kickoff,initiation
241,184,inauguration,initiation
242,184,installation,initiation
243,184,product introduction,initiation
244,184,springboard,initiation
245,184,first step,initiation
246,184,first base,first step
247,184,jump ball,first step
248,184,communization,initiation
249,184,federation,initiation
250,184,constitution,initiation
251,184,unionization,initiation
252,184,collectivization,initiation
253,184,induction,initiation
254,184,induction of labor,induction
255,184,icebreaker,initiation
256,184,tip-off,kickoff
257,184,resumption,initiation
258,184,attack,initiation
259,184,ushering in,initiation
260,184,creation,initiation
261,184,peace initiative,initiation
262,184,scrum,initiation
263,184,housing start,initiation
264,184,population,initiation
265,184,hypnogenesis,initiation
266,193,cycad,gymnosperm
267,193,seed fern,cycad
268,193,false sago,cycad
269,193,encephalartos,cycad
270,193,burrawong,cycad
271,193,coontie,cycad
272,193,dioon,cycad
273,193,macrozamia,cycad
274,193,ceratozamia,cycad
275,193,sago palm,cycad
276,193,welwitschia,gymnosperm
277,198,domestic terrorism,terrorism
278,198,international terrorism,terrorism
279,198,nuclear terrorism,terrorism
280,198,chemical terrorism,terrorism
281,198,bioterrorism,terrorism
282,198,cyber-terrorism,terrorism
283,198,state-sponsored terrorism,international terrorism
284,198,narcoterrorism,terrorism
285,198,theoterrorism,terrorism
286,198,ecoterrorism,terrorism
287,198,Red Hand Defenders,terrorism
288,198,terrorist attack,terrorism
289,198,9/11,terrorist attack
290,200,breast pocket,pocket
291,200,vest pocket,pocket
292,200,slash pocket,pocket
293,200,hip pocket,pocket
294,200,patch pocket,pocket
295,200,pouch,pocket
296,200,tobacco pouch,pouch
297,200,diplomatic pouch,pouch
298,200,waist pack,pocket
299,200,fanny pack,pocket
300,200,sporran,pocket
301,200,mailbag,pocket
302,212,ornithischian,dinosaur
303,212,ceratopsian,ornithischian
304,212,triceratops,ceratopsian
305,212,protoceratops,ceratopsian
306,212,psittacosaur,ceratopsian
307,212,ornithopod,ornithischian
308,212,hadrosaur,ornithopod
309,212,anatotitan,hadrosaur
310,212,edmontosaurus,hadrosaur
311,212,pachycephalosaur,ornithischian
312,212,bone-headed dinosaur,pachycephalosaur
313,212,armored dinosaur,ornithischian
314,212,ankylosaur,armored dinosaur
315,212,edmontonia,armored dinosaur
316,212,stegosaur,ornithischian
317,212,staurikosaur,dinosaur
318,212,corythosaur,hadrosaur
319,212,styracosaur,ceratopsian
320,215,condenser microphone,microphone
321,215,directional microphone,microphone
322,215,cardioid microphone,microphone
323,215,crystal microphone,microphone
324,215,telephone receiver,microphone
325,215,bug,microphone
326,215,cartridge,microphone
327,215,loudspeaker,microphone
328,215,woofer,loudspeaker
329,215,tweeter,loudspeaker
330,215,subwoofer,loudspeaker
331,215,squawk box,loudspeaker
332,215,headset,loudspeaker
333,215,earplug,loudspeaker
334,215,earphone,loudspeaker
335,215,electro-acoustic transducer,microphone
336,215,tannoy,loudspeaker
337,215,spike mike,microphone
338,236,point,root
339,236,intersection,point
340,236,vertex,point
341,236,component,point
342,236,attractor,point
343,236,strange attractor,attractor
344,236,plot element,root
345,236,McGuffin,plot element
346,236,be-all and end-all,plot element
347,236,intercept,point
348,236,metacenter,root
349,24,marmoset,New World monkey
350,24,tamarin,New World monkey
351,24,capuchin,New World monkey
352,24,howler monkey,New World monkey
353,24,spider monkey,New World monkey
354,24,squirrel monkey,New World monkey
355,24,woolly monkey,New World monkey
356,24,titi,New World monkey
357,24,uakari,New World monkey
358,24,saki,New World monkey
359,24,true marmoset,marmoset
360,24,pygmy marmoset,marmoset
361,24,silky tamarin,tamarin
362,24,pinche,tamarin
363,24,douroucouli,New World monkey
364,242,misrepresentation,deception
365,242,pretense,deception
366,242,trickery,deception
367,242,half-truth,misrepresentation
368,242,exaggeration,misrepresentation
369,242,bluff,misrepresentation
370,242,doublespeak,misrepresentation
371,242,facade,pretense
372,242,crocodile tears,pretense
373,242,hypocrisy,pretense
374,242,humbug,trickery
375,242,putoff,trickery
376,242,bill of goods,trickery
377,242,snow job,trickery
378,242,subterfuge,trickery
379,242,evasion,trickery
380,242,circumlocution,evasion
381,242,quibble,evasion
382,247,pipefitting,fitting
383,247,gas fitting,fitting
384,247,socket,fitting
385,247,reducer,fitting
386,247,point,fitting
387,247,receptacle,socket
388,247,electric socket,socket
389,247,wall socket,socket
390,247,outlet box,receptacle
391,247,slot,fitting
392,251,emotional state,state
393,251,happiness,emotional state
394,251,ecstasy,happiness
395,251,comfort,happiness
396,251,blessedness,happiness
397,251,radiance,happiness
398,251,nirvana,happiness
399,251,sadness,emotional state
400,251,embarrassment,sadness
401,251,mourning,sadness
402,251,unhappiness,sadness
403,251,embitterment,sadness
404,251,poignance,emotional state
405,251,quality of life,emotional state
406,262,cultivation,farming
407,262,gardening,farming
408,262,subsistence farming,farming
409,262,market gardening,farming
410,262,mixed farming,farming
411,262,monoculture,farming
412,262,planting,cultivation
413,262,tilling,cultivation
414,262,plowing,tillage
415,262,tillage,cultivation
416,262,viticulture,cultivation
417,262,cranberry culture,cultivation
418,262,truck farming,cultivation
419,262,hydroponics,cultivation
420,262,animal husbandry,farming
421,262,dairying,animal husbandry
422,262,insemination,animal husbandry
423,262,aquaculture,farming
424,262,beekeeping,farming
425,262,landscaping,gardening
426,262,arboriculture,gardening
427,262,drip culture,cultivation
428,262,strip cropping,farming
429,262,roundup,farming
430,262,flower gardening,gardening
431,265,Bantu,Niger-Congo
432,265,West African,Niger-Congo
433,265,Nguni,Bantu
434,265,Sotho,Bantu
435,265,Swahili,Bantu
436,265,Gikuyu,Bantu
437,265,Kiswahili,Swahili
438,265,Zulu,Nguni
439,265,Xhosa,Nguni
440,265,Ndebele,Nguni
441,265,Tswana,Sotho
442,265,Sesotho,Sotho
443,265,Kamba,Bantu
444,265,Luyia,Bantu
445,265,Shona,Bantu
446,265,Kichaga,Bantu
447,265,Mashi,Bantu
448,265,Luba,Bantu
449,265,Umbundu,Bantu
450,265,Herero,Bantu
451,265,Tonga,Bantu
452,265,Chichewa,Bantu
453,265,Fang,Bantu
454,265,Gur,West African
455,265,Mande,West African
456,265,Yoruba,West African
457,265,Akan,West African
458,265,Wolof,West African
459,265,Sango,West African
460,265,Fula,West African
461,265,Serer,West African
462,265,ChiMwini,West African
463,265,Giriama,Bantu
464,265,Mwera,Bantu
465,265,Nyamwezi,Bantu
466,268,text file,computer file
467,268,binary file,computer file
468,268,ASCII text file,text file
469,268,input file,computer file
470,268,output file,computer file
471,268,master file,computer file
472,268,transaction file,computer file
473,268,backup file,computer file
474,268,read-only file,computer file
475,268,disk file,computer file
476,268,home page,computer file
477,268,web page,computer file
478,28,biological aggregation,aggregation
479,28,thrombus,biological aggregation
480,28,clot,biological aggregation
481,28,embolus,biological aggregation
482,28,bunch,biological aggregation
483,28,knot,biological aggregation
484,28,ball,biological aggregation
485,28,agglomeration,biological aggregation
486,28,gob,biological aggregation
487,28,witches' broom,biological aggregation
488,28,clew,biological aggregation
489,28,tuft,biological aggregation
490,28,wisp,biological aggregation
491,28,astronomical aggregation,aggregation
492,28,Pleiades,astronomical aggregation
493,28,Northern Cross,astronomical aggregation
494,28,Omega Centauri,astronomical aggregation
495,292,low explosive,firework
496,292,firecracker,low explosive
497,292,sparkler,low explosive
498,292,Roman candle,low explosive
499,292,catherine wheel,low explosive
500,292,squib,low explosive
501,292,high explosive,firework
502,292,torpedo,high explosive
503,292,fizgig,high explosive
504,292,whizbang,high explosive
505,292,maroon,high explosive
506,292,cherry bomb,high explosive
507,292,skyrocket,high explosive
508,292,cannon cracker,high explosive
509,312,instrument,means
510,312,implementation,means
511,312,instrumentation,means
512,312,expedient,means
513,312,makeshift,expedient
514,312,desperate measure,expedient
515,312,motorization,means
516,312,improvisation,means
517,312,stepping stone,means
518,312,salvation,means
519,312,fast track,means
520,312,royal road,means
521,312,dint,means
522,312,invocation,means
523,312,open sesame,means
524,312,voice,means
525,312,escape,means
526,312,wings,means
527,312,practice,means
528,320,garden,landscaping
529,320,formal garden,garden
530,320,flower garden,garden
531,320,herb garden,garden
532,320,kitchen garden,garden
533,320,market garden,garden
534,320,roof garden,garden
535,320,rock garden,garden
536,320,sunken garden,garden
537,320,victory garden,garden
538,320,tea garden,garden
539,320,apple orchard,garden
540,320,orange grove,garden
541,320,lemon grove,garden
542,320,peach orchard,garden
543,320,hop garden,garden
544,320,flowerbed,garden
545,320,rose bed,flowerbed
546,320,tulip bed,flowerbed
547,320,turnip bed,flowerbed
548,320,asparagus bed,flowerbed
549,320,parterre,garden
550,320,topiary,garden
551,320,Hanging Gardens of Babylon,garden
552,320,Tuileries,garden
553,320,plot,garden
554,320,bed,garden
555,320,seedbed,garden
556,327,sister,kinswoman
557,327,aunt,kinswoman
558,327,niece,kinswoman
559,327,female sibling,sister
560,327,little sister,female sibling
561,327,big sister,female sibling
562,327,half sister,female sibling
563,327,maiden aunt,aunt
564,327,great-aunt,aunt
565,327,great-niece,niece
566,33,down,feather
567,33,eiderdown,down
568,33,duck down,down
569,33,swan's down,down
570,33,goose down,down
571,33,contour feather,feather
572,33,hackle,contour feather
573,33,saddle hackle,hackle
574,33,flight feather,feather
575,33,primary,flight feather
576,33,tail feather,flight feather
577,33,bastard wing,flight feather
578,33,sickle feather,feather
579,33,aftershaft,feather
580,33,marabou,down
581,33,scapular,contour feather
582,33,plumule,down
583,335,surgical instrument,medical instrument
584,335,diagnostic instrument,medical instrument
585,335,scalpel,surgical instrument
586,335,hemostat,surgical instrument
587,335,retractor,surgical instrument
588,335,curette,surgical instrument
589,335,snare,surgical instrument
590,335,trepan,surgical instrument
591,335,catling,surgical instrument
592,335,dilator,surgical instrument
593,335,autoinjector,surgical instrument
594,335,surgical knife,surgical instrument
595,335,dermatome,surgical instrument
596,335,electromyograph,surgical instrument
597,335,diathermy machine,surgical instrument
598,335,shortwave diathermy machine,diathermy machine
599,335,microwave diathermy machine,diathermy machine
600,335,fiberscope,surgical instrument
601,335,arthroscope,surgical instrument
602,335,laparoscope,surgical instrument
603,335,endoscope,diagnostic instrument
604,335,gastroscope,endoscope
605,335,colonoscope,endoscope
606,335,sigmoidoscope,endoscope
607,335,bronchoscope,endoscope
608,335,otoscope,endoscope
609,335,laryngoscope,endoscope
610,335,rhinoscope,endoscope
611,335,proctoscope,endoscope
612,335,culdoscope,endoscope
613,335,fetoscope,endoscope
614,335,orthoscope,endoscope
615,335,thermograph,diagnostic instrument
616,335,stethoscope,diagnostic instrument
617,335,lie detector,diagnostic instrument
618,335,cardiograph,diagnostic instrument
619,335,ballistocardiograph,diagnostic instrument
620,335,electroencephalograph,diagnostic instrument
621,335,polygraph,diagnostic instrument
622,335,probe,diagnostic instrument
623,335,speculum,diagnostic instrument
624,335,lancet,diagnostic instrument
625,335,douche,diagnostic instrument
626,335,syringe,diagnostic instrument
627,335,hypodermic syringe,syringe
628,335,dialyzer,diagnostic instrument
629,335,artificial kidney,diagnostic instrument
630,350,glue,adhesive material
631,350,animal glue,glue
632,350,fish glue,glue
633,350,casein glue,glue
634,350,spirit gum,glue
635,350,rubber cement,glue
636,350,birdlime,glue
637,350,mastic,glue
638,350,paste,glue
639,350,putty,adhesive material
640,350,iron putty,putty
641,350,red-lead putty,putty
642,350,cement,adhesive material
643,353,green salad,salad
644,353,fruit salad,salad
645,353,potato salad,salad
646,353,tuna fish salad,salad
647,353,chicken salad,salad
648,353,pasta salad,salad
649,353,macaroni salad,salad
650,353,coleslaw,salad
651,353,Waldorf salad,salad
652,353,Caesar salad,salad
653,353,salad nicoise,salad
654,353,chef's salad,salad
655,353,tossed salad,salad
656,353,combination salad,salad
657,353,salmagundi,salad
658,353,molded salad,salad
659,353,herring salad,salad
660,353,crab Louis,salad
661,36,success,success
662,36,run batted in,score
663,36,break,success
664,36,goal,success
665,36,bell ringer,success
666,36,hat trick,success
667,36,spare,success
668,36,equalizer,score
669,36,score,success
670,36,unearned run,run
671,36,conquest,success
672,36,flying colors,success
673,36,field goal,score
674,36,passing,success
675,36,sleeper,success
676,36,sexual conquest,conquest
677,36,solution,success
678,36,coup,success
679,36,winning,success
680,36,run,score
681,36,open frame,spare
682,36,earned run,run
683,36,hit,score
684,36,conversion,score
685,36,blockbuster,success
686,36,cuckoldry,conquest
687,36,strike,score
688,36,basket,score
689,36,point after,touchdown
690,36,overturn,solution
691,36,own goal,goal
692,36,seduction,conquest
693,36,touchdown,score
