,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Permutations and combinations,Combinatorics
2,10002950_1,Combinatorics on words,Combinatorics
3,10002950_1,Enumeration,Combinatorics
4,10002950_1,Generating functions,Combinatorics
5,10002950_1,Combinatorial optimization,Combinatorics
6,10002950_1,Approximation algorithms,Combinatorial optimization
7,10002950_1,Combinatorial algorithms,Combinatorial optimization
8,10002950_1,Graph theory,Discrete mathematics
9,10002950_1,Graph algorithms,Graph theory
10,10002950_1,Paths and connectivity problems,Graph theory
11,10002950_1,Network flows,Graph theory
12,10002950_1,Matchings and factors,Graph theory
13,10002950_1,Graph coloring,Graph theory
14,10002950_1,Trees,Graph theory
15,10002950_1,Graph enumeration,Graph theory
16,10002950_1,Random graphs,Graph theory
17,10002950_1,Extremal graph theory,Graph theory
18,10002950_1,Spectra of graphs,Graph theory
19,10002950_1,Graphs and surfaces,Graph theory
20,10002950_1,Combinatoric problems,Combinatorics
21,10002950_1,Matroids and greedoids,Combinatorics
22,10002950_1,Hypergraphs,Graph theory
23,10002950_4,Computation of transforms,Numerical analysis
24,10002950_4,Computation of polynomials,Numerical analysis
25,10002950_4,Computation of matrices,Numerical analysis
26,10002950_4,Computation in finite fields,Numerical analysis
27,10002950_4,Number-theoretic computations,Numerical analysis
28,10002950_4,Arbitrary-precision arithmetic,Numerical analysis
29,10002950_4,Interval arithmetic,Numerical analysis
30,10002950_4,Developmental representations,Genetic programming
31,10002950_4,Lambda calculus,Computations on polynomials
32,10002950_4,Gröbner bases and other special bases,Computations on polynomials
33,10002950_4,Stochastic control and optimization,Mathematical optimization
34,10002950_5,Algebraic topology,Topology
35,10002950_5,Geometric topology,Topology
36,10002950_5,Point-set topology,Topology
37,10002950_5,Calculus,Continuous mathematics
38,10002950_5,Continuous functions,Calculus
39,10002950_5,Topology,Continuous mathematics
40,10002951_3,Enterprise information systems,Information systems applications
41,10002951_3,Enterprise applications,Enterprise information systems
42,10002951_3,Enterprise resource planning,Enterprise applications
43,10002951_3,Intranets,Enterprise information systems
44,10002951_3,Extranets,Enterprise information systems
45,10002951_3,Collaborative and social computing systems and tools,Information systems applications
46,10002951_3,Social networking sites,Collaborative and social computing systems and tools
47,10002951_3,Wikis,Collaborative and social computing systems and tools
48,10002951_3,Blogs,Collaborative and social computing systems and tools
49,10002951_3,Social tagging systems,Collaborative and social computing systems and tools
50,10002951_3,Geographic information systems,Information systems applications
51,10002951_3,Spatial-temporal systems,Geographic information systems
52,10002951_3,Location based services,Geographic information systems
53,10002951_3,Global positioning systems,Geographic information systems
54,10002951_3,Data processing and analytics,Information systems applications
55,10002951_3,Data analytics,Data processing and analytics
56,10002951_3,Data mining,Data analytics
57,10002951_3,Association rules,Data mining
58,10002951_3,Clustering,Data mining
59,10002951_3,Nearest-neighbor search,Data mining
60,10002951_3,Collaborative filtering,Data mining
61,10002951_3,Data cleaning,Data analytics
62,10002951_3,Data warehouses,Data analytics
63,10002951_3,Online analytical processing,Data warehouses
64,10002951_3,Data streaming,Data processing and analytics
65,10002951_3,Data stream mining,Data streaming
66,10002951_3,Multimedia streaming,Data streaming
67,10002951_3,Multimedia content creation,Multimedia streaming
68,10002951_3,Computational advertising,Data processing and analytics
69,10002951_3,Reputation systems,Data processing and analytics
70,10002951_3,Decision support systems,Data processing and analytics
71,10002951_3,Multimedia information systems,Information systems applications
72,10002951_3,Multimedia databases,Multimedia information systems
73,10002951_3,Multimedia streaming,Multimedia information systems
74,10002951_3,Open source software,Information systems applications
75,10002951_3,Computing platforms,Information systems applications
76,10002951_3,Mobile information processing systems,Computing platforms
77,10002951_3,Sensor networks,Information systems applications
78,10002951_3,Expert systems,Information systems applications
79,10002951_3,Process control systems,Information systems applications
80,10002951_3,Data centers,Information systems applications
81,10002951_3,Massively multiplayer online games,Information systems applications
82,10002951_3,Asynchronous editors,Information systems applications
83,10002951_3,Synchronous editors,Information systems applications
84,10002978_1,Mathematical foundations of cryptography,Cryptography
85,10002978_1,Symmetric cryptography and hash functions,Cryptography
86,10002978_1,Public key (asymmetric) techniques,Cryptography
87,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
88,10002978_1,Hash functions and message authentication codes,Symmetric cryptography and hash functions
89,10002978_1,Public key encryption,Public key (asymmetric) techniques
90,10002978_1,Digital signatures,Public key (asymmetric) techniques
91,10002978_1,Key management,Cryptography
92,10002978_1,Cryptanalysis and other attacks,Cryptography
93,10002978_1,Information-theoretic techniques,Cryptography
94,10002978_10,Privacy protections,Security and privacy
95,10002978_10,Usability in security and privacy,Security and privacy
96,10002978_10,Economics of security and privacy,Security and privacy
97,10002978_10,Social aspects of security and privacy,Security and privacy
98,10002978_10,Human and societal aspects of security and privacy,Security and privacy
99,10002978_2,Formal security models,Formal methods and theory of security
