,child,parent,group
0,milligram,gram,514
1,microgram,gram,514
2,nanogram,gram,514
3,kilogram,gram,514
4,milliliter,liter,514
5,centiliter,liter,514
6,deciliter,liter,514
7,dekaliter,liter,514
8,hectoliter,liter,514
9,kiloliter,liter,514
10,millimeter,meter,514
11,centimeter,meter,514
12,decimeter,meter,514
13,kilometer,meter,514
14,decameter,meter,514
15,hectometer,meter,514
16,myriameter,meter,514
17,liter,metric_capacity_unit,514
18,meter,metric_linear_unit,514
19,metric_weight_unit,metric_unit,514
20,metric_linear_unit,metric_unit,514
21,metric_capacity_unit,metric_unit,514
22,gram,metric_weight_unit,514
23,quintal,metric_weight_unit,514
24,carat,metric_weight_unit,514
25,grain,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,druid,priest,515
3,magus,priest,515
4,shaman,priest,515
5,votary,priest,515
6,lama,priest,515
7,bacchant,priest,515
8,flamen,priest,515
9,ezra,priest,515
10,vestal_virgin,priest,515
0,multiple_correlation_coefficient,correlation_coefficient,5
1,product-moment_correlation_coefficient,correlation_coefficient,5
2,tau_coefficient_of_correlation,correlation_coefficient,5
3,biserial_correlation_coefficient,correlation_coefficient,5
4,tetrachoric_correlation_coefficient,correlation_coefficient,5
5,phi_coefficient,correlation_coefficient,5
6,rank-order_correlation_coefficient,correlation_coefficient,5
7,kendall_partial_rank_correlation,correlation_coefficient,5
8,nonparametric_statistic,statistic,5
9,parametric_statistic,statistic,5
10,moment,statistic,5
11,time_series,statistic,5
12,demographic,statistic,5
13,outlier,statistic,5
0,reel,country-dance,8
1,square_dance,country-dance,8
2,quadrille,country-dance,8
3,longways,country-dance,8
4,highland_fling,country-dance,8
5,virginia_reel,reel,8
6,do-si-do,square_dance,8
7,sashay,square_dance,8
8,promenade,square_dance,8
0,caffeine_addict,addict,9
1,drug_addict,addict,9
2,crack_addict,drug_addict,9
3,heroin_addict,drug_addict,9
4,cocaine_addict,drug_addict,9
5,opium_addict,drug_addict,9
6,tripper,drug_user,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,manipulation,influence,10
3,solicitation,influence,10
4,exposure,influence,10
5,cross-pollination,influence,10
6,hypnotism,influence,10
7,impingement,influence,10
8,mind_game,manipulation,10
9,enticement,solicitation,10
0,absorption_coefficient,coefficient,13
1,coefficient_of_reflection,coefficient,13
2,coefficient_of_self_induction,coefficient,13
3,coefficient_of_mutual_induction,coefficient,13
4,coefficient_of_viscosity,coefficient,13
5,coefficient_of_expansion,coefficient,13
6,drag_coefficient,coefficient,13
7,coefficient_of_friction,coefficient,13
8,young's_modulus,modulus,13
9,modulus_of_rigidity,modulus,13
10,bulk_modulus,modulus,13
0,teetotaling,abstinence,525
1,chastity,abstinence,525
2,self-denial,asceticism,525
3,ramadan,fast,525
4,sawm,fast,525
0,tailspin,acrobatics,15
1,air_travel,flight,15
2,glide,flight,15
3,terrain_flight,flight,15
4,acrobatics,flight,15
5,sortie,flight,15
6,ballooning,flight,15
7,blind_flying,flight,15
8,hang_gliding,glide,15
0,required_course,course,17
1,elective_course,course,17
2,orientation_course,course,17
3,refresher_course,course,17
4,art_class,course,17
5,elementary_education,education,17
6,secondary_education,education,17
7,higher_education,education,17
8,adult_education,education,17
9,extracurricular_activity,education,17
10,course,education,17
11,team_teaching,education,17
12,work-study_program,education,17
13,coeducation,education,17
14,athletics,extracurricular_activity,17
15,dramatics,extracurricular_activity,17
0,grand_larceny,larceny,531
1,petit_larceny,larceny,531
2,biopiracy,piracy,531
3,armed_robbery,robbery,531
4,highway_robbery,robbery,531
5,heist,robbery,531
6,raid,robbery,531
7,dacoity,robbery,531
8,plunderage,robbery,531
9,highjacking,robbery,531
10,piracy,robbery,531
0,accused,defendant,532
1,corespondent,defendant,532
2,codefendant,defendant,532
3,plaintiff,litigant,532
4,defendant,litigant,532
5,prevailing_party,litigant,532
6,appellant,litigant,532
7,suer,plaintiff,532
8,filer,plaintiff,532
0,kindheartedness,compassion,535
1,solicitude,concern,535
2,heartstrings,empathy,535
3,commiseration,sympathy,535
0,true_marmoset,marmoset,24
1,pygmy_marmoset,marmoset,24
2,capuchin,new_world_monkey,24
3,howler_monkey,new_world_monkey,24
4,woolly_monkey,new_world_monkey,24
5,spider_monkey,new_world_monkey,24
6,saki,new_world_monkey,24
7,squirrel_monkey,new_world_monkey,24
8,douroucouli,new_world_monkey,24
9,uakari,new_world_monkey,24
10,titi,new_world_monkey,24
11,marmoset,new_world_monkey,24
12,tamarin,new_world_monkey,24
13,silky_tamarin,tamarin,24
14,pinche,tamarin,24
0,bunch,agglomeration,28
1,pleiades,agglomeration,28
0,hackle,contour_feather,33
1,sickle_feather,contour_feather,33
2,scapular,contour_feather,33
3,eiderdown,down,33
4,goose_down,down,33
5,duck_down,down,33
6,swan's_down,down,33
7,plumule,down,33
8,down,feather,33
9,contour_feather,feather,33
10,flight_feather,feather,33
11,primary,flight_feather,33
12,bastard_wing,flight_feather,33
13,saddle_hackle,hackle,33
0,sexual_conquest,conquest,36
1,cuckoldry,conquest,36
2,run_batted_in,run,36
3,unearned_run,run,36
4,earned_run,run,36
0,trouser_cuff,cuff,42
1,codpiece,flap,42
2,earflap,flap,42
3,tent-fly,flap,42
4,pocket_flap,flap,42
5,revers,flap,42
6,coattail,flap,42
7,barndoor,flap,42
8,lappet,flap,42
9,tongue,flap,42
10,lapel,flap,42
11,cuff,flap,42
12,lap,flap,42
13,jag,flap,42
0,pedaler,cyclist,559
1,merckx,cyclist,559
2,hinault,cyclist,559
3,unicyclist,cyclist,559
4,fox_hunter,horseman,559
5,picador,horseman,559
6,horseman,rider,559
7,horsewoman,rider,559
8,cyclist,rider,559
9,hang_glider,rider,559
0,broccoli_rabe,broccoli,561
1,head_cabbage,cabbage,561
2,red_cabbage,cabbage,561
3,savoy_cabbage,cabbage,561
4,chinese_cabbage,cabbage,561
5,bok_choy,chinese_cabbage,561
6,cabbage,cruciferous_vegetable,561
7,mustard,cruciferous_vegetable,561
8,broccoli,cruciferous_vegetable,561
9,turnip,cruciferous_vegetable,561
10,radish,cruciferous_vegetable,561
11,kale,cruciferous_vegetable,561
12,kohlrabi,cruciferous_vegetable,561
13,cauliflower,cruciferous_vegetable,561
14,white_turnip,turnip,561
15,rutabaga,turnip,561
0,wandering_albatross,albatross,563
1,black-footed_albatross,albatross,563
2,white-chinned_petrel,petrel,563
3,giant_petrel,petrel,563
4,diving_petrel,petrel,563
5,storm_petrel,petrel,563
6,pelagic_bird,procellariiform_seabird,563
7,petrel,procellariiform_seabird,563
8,albatross,procellariiform_seabird,563
9,shearwater,procellariiform_seabird,563
10,manx_shearwater,shearwater,563
11,mother_carey's_chicken,storm_petrel,563
12,stormy_petrel,storm_petrel,563
0,allegro_con_spirito,allegro,569
1,tempo,musical_time,569
2,rhythm,musical_time,569
3,syncopation,rhythm,569
4,backbeat,rhythm,569
5,upbeat,rhythm,569
6,downbeat,rhythm,569
7,allegro,tempo,569
8,andante,tempo,569
