,child,parent,group
0,parallel_computing_models,models_of_computation,10003752_1
1,distributed_computing_models,models_of_computation,10003752_1
2,quantum_computation_theory,models_of_computation,10003752_1
3,probabilistic_computation,models_of_computation,10003752_1
4,process_calculi,models_of_computation,10003752_1
5,concurrency,models_of_computation,10003752_1
6,interactive_computation,models_of_computation,10003752_1
7,timed_and_hybrid_models,models_of_computation,10003752_1
8,streaming_models,models_of_computation,10003752_1
9,abstract_machines,models_of_computation,10003752_1
10,recursive_functions,models_of_computation,10003752_1
11,lambda_calculus,models_of_computation,10003752_1
12,quantum_communication_complexity,quantum_computation_theory,10003752_1
13,quantum_complexity_theory,quantum_computation_theory,10003752_1
14,quantum_information_theory,quantum_computation_theory,10003752_1
0,network_monitoring,network_management,10003033_7
1,cloud_computing,network_services,10003033_7
2,location_based_services,network_services,10003033_7
0,aerospace,engineering,10010405_3
1,avionics,engineering,10010405_3
2,electronics,engineering,10010405_3
3,computer-aided_design,engineering,10010405_3
4,astronomy,physical_sciences_and_engineering,10010405_3
5,physics,physical_sciences_and_engineering,10010405_3
6,chemistry,physical_sciences_and_engineering,10010405_3
7,earth_and_atmospheric_sciences,physical_sciences_and_engineering,10010405_3
8,environmental_sciences,physical_sciences_and_engineering,10010405_3
9,engineering,physical_sciences_and_engineering,10010405_3
10,mathematics_and_statistics,physical_sciences_and_engineering,10010405_3
11,internet_telephony,telecommunications,10010405_3
0,collaborative_and_social_computing_devices,collaborative_and_social_computing,10003120_3
1,collaborative_and_social_computing_systems_and_tools,collaborative_and_social_computing,10003120_3
2,computer_supported_cooperative_work,collaborative_and_social_computing,10003120_3
3,social_media,collaborative_and_social_computing,10003120_3
4,social_networks,collaborative_and_social_computing,10003120_3
5,social_content_sharing,collaborative_and_social_computing,10003120_3
6,collaborative_content_creation,collaborative_and_social_computing,10003120_3
7,social_tagging,collaborative_and_social_computing,10003120_3
8,social_recommendation,collaborative_and_social_computing,10003120_3
9,social_navigation,collaborative_and_social_computing,10003120_3
10,collaborative_filtering,collaborative_and_social_computing,10003120_3
11,social_network_analysis,collaborative_and_social_computing,10003120_3
12,ethnographic_studies,collaborative_and_social_computing,10003120_3
13,empirical_studies_in_collaborative_and_social_computing,collaborative_and_social_computing,10003120_3
14,collaborative_and_social_computing_design_and_evaluation_methods,collaborative_and_social_computing,10003120_3
15,"collaborative_and_social_computing_theory,_concepts_and_paradigms",collaborative_and_social_computing,10003120_3
0,personal_computers_and_pc_applications,computers_in_other_domains,10010405_8
1,cartography,computers_in_other_domains,10010405_8
2,digital_libraries_and_archives,computers_in_other_domains,10010405_8
3,military,computers_in_other_domains,10010405_8
4,agriculture,computers_in_other_domains,10010405_8
5,publishing,computers_in_other_domains,10010405_8
6,computer_games,computers_in_other_domains,10010405_8
7,voting_/_election_technologies,e-government,10010405_8
8,cyberwarfare,military,10010405_8
9,word_processors,personal_computers_and_pc_applications,10010405_8
10,spreadsheets,personal_computers_and_pc_applications,10010405_8
0,design_for_testability,hardware_test,10010583_8
1,defect-based_test,hardware_test,10010583_8
2,testing_with_distributed_and_parallel_systems,hardware_test,10010583_8
