,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Graph theory,Discrete mathematics
2,10002950_1,Combinatorial algorithms,Combinatorics
3,10002950_1,Combinatorial optimization,Combinatorics
4,10002950_1,Matroids and greedoids,Combinatorics
5,10002950_1,Combinatoric problems,Combinatorics
6,10002950_1,Enumeration,Combinatorics
7,10002950_1,Generating functions,Combinatorics
8,10002950_1,Combinatorics on words,Combinatorics
9,10002950_1,Graph algorithms,Graph theory
10,10002950_1,Spectra of graphs,Graph theory
11,10002950_1,Extremal graph theory,Graph theory
12,10002950_1,Paths and connectivity problems,Graph theory
13,10002950_1,Network flows,Graph theory
14,10002950_1,Trees,Graph theory
15,10002950_1,Graphs and surfaces,Graph theory
16,10002950_1,Random graphs,Graph theory
17,10002950_1,Graph enumeration,Graph theory
18,10002950_1,Matchings and factors,Graph theory
19,10002950_1,Approximation algorithms,Graph theory
20,10002950_1,Graph coloring,Graph theory
21,10002950_1,Permutations and combinations,Combinatorics
22,10002950_1,Hypergraphs,Graph theory
23,10002950_4,Numerical analysis,Mathematical optimization
24,10002950_4,Continuous optimization,Mathematical optimization
25,10002950_4,Discrete optimization,Mathematical optimization
26,10002950_4,Nonconvex optimization,Mathematical optimization
27,10002950_4,Convex optimization,Mathematical optimization
28,10002950_4,Non-parametric optimization,Mathematical optimization
29,10002950_4,Stochastic control and optimization,Mathematical optimization
30,10002950_4,Differential equations,Numerical analysis
31,10002950_4,Integral calculus,Numerical analysis
32,10002950_4,Numerical differentiation,Numerical analysis
33,10002950_4,Quadrature,Numerical analysis
34,10002950_4,Ordinary differential equations,Differential equations
35,10002950_4,Partial differential equations,Differential equations
36,10002950_4,Differential algebraic equations,Differential equations
37,10002950_4,Evolutionary algorithms,Optimization techniques
38,10002950_4,Genetic programming,Optimization techniques
39,10002950_4,Simulated annealing,Optimization techniques
40,10002950_4,Tabu search,Optimization techniques
41,10002950_4,Functional analysis,Mathematical analysis
42,10002950_4,Lambda calculus,Mathematical analysis
43,10002950_4,Gröbner bases and other special bases,Mathematical analysis
44,10002950_4,Computations on matrices,Discrete mathematics
