,child,parent,group
0,liter,metric_capacity_unit,514
1,milliliter,metric_capacity_unit,514
2,centiliter,metric_capacity_unit,514
3,deciliter,metric_capacity_unit,514
4,dekaliter,metric_capacity_unit,514
5,hectoliter,metric_capacity_unit,514
6,kiloliter,metric_capacity_unit,514
7,cubic_kilometer,metric_capacity_unit,514
8,meter,metric_linear_unit,514
9,millimeter,metric_linear_unit,514
10,centimeter,metric_linear_unit,514
11,decimeter,metric_linear_unit,514
12,hectometer,metric_linear_unit,514
13,kilometer,metric_linear_unit,514
14,myriameter,metric_linear_unit,514
15,nanometer,metric_linear_unit,514
16,micron,metric_linear_unit,514
17,picometer,metric_linear_unit,514
18,femtometer,metric_linear_unit,514
19,angstrom,metric_linear_unit,514
20,metric_weight_unit,metric_unit,514
21,metric_capacity_unit,metric_unit,514
22,metric_linear_unit,metric_unit,514
23,gram,metric_weight_unit,514
24,milligram,metric_weight_unit,514
25,decigram,metric_weight_unit,514
26,kilogram,metric_weight_unit,514
27,hectogram,metric_weight_unit,514
28,quintal,metric_weight_unit,514
29,centner,metric_weight_unit,514
30,metric_ton,metric_weight_unit,514
31,grain,metric_weight_unit,514
32,carat,metric_weight_unit,514
33,microgram,metric_weight_unit,514
34,nanogram,metric_weight_unit,514
35,hundredweight,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,flamen,priest,515
0,arithmetic_mean,mean,5
1,geometric_mean,mean,5
2,harmonic_mean,mean,5
3,time_series,statistic,5
4,demographic,statistic,5
5,outlier,statistic,5
6,vital_statistics,statistic,5
0,do-si-do,square_dance,8
0,drug_user,addict,9
1,drug_addict,addict,9
2,withdrawer,addict,9
3,heroin_addict,drug_addict,9
4,cocaine_addict,drug_addict,9
5,crack_addict,drug_addict,9
6,opium_addict,drug_addict,9
7,speed_freak,drug_addict,9
8,tripper,drug_user,9
0,underexposure,exposure,10
1,overexposure,exposure,10
2,seduction,influence,10
3,hypnotism,influence,10
4,impingement,influence,10
5,cross-pollination,influence,10
6,manipulation,influence,10
7,exposure,influence,10
8,solicitation,influence,10
9,enticement,seduction,10
0,coefficient_of_expansion,coefficient,13
1,coefficient_of_reflection,coefficient,13
2,coefficient_of_self_induction,coefficient,13
3,coefficient_of_friction,coefficient,13
4,coefficient_of_elasticity,coefficient,13
5,coefficient_of_mutual_induction,coefficient,13
6,drag_coefficient,coefficient,13
7,coefficient_of_viscosity,coefficient,13
8,modulus,coefficient,13
9,absorption_coefficient,coefficient,13
10,transmittance,coefficient,13
11,weight,coefficient,13
12,modulus_of_rigidity,modulus,13
13,bulk_modulus,modulus,13
14,young's_modulus,modulus,13
0,chastity,abstinence,525
1,sobriety,abstinence,525
2,sawm,fast,525
3,hunger_strike,fast,525
4,ramadan,sawm,525
5,diet,self-denial,525
0,air_travel,flight,15
1,solo,flight,15
2,maiden_flight,flight,15
3,sortie,flight,15
4,glide,flight,15
5,overflight,flight,15
6,blind_flying,flight,15
7,terrain_flight,flight,15
8,acrobatics,flight,15
9,tailspin,flight,15
10,flyover,flight,15
0,required_course,course,17
1,elective_course,course,17
2,workshop,course,17
3,seminar,course,17
4,refresher_course,course,17
5,elementary_education,education,17
6,secondary_education,education,17
7,higher_education,education,17
8,extracurricular_activity,education,17
9,course,education,17
10,team_teaching,education,17
11,athletics,extracurricular_activity,17
12,dramatics,extracurricular_activity,17
0,petit_larceny,larceny,531
1,grand_larceny,larceny,531
2,pilferage,larceny,531
3,shoplifting,larceny,531
4,armed_robbery,robbery,531
5,highway_robbery,robbery,531
6,dacoity,robbery,531
0,accused,defendant,532
1,codefendant,defendant,532
2,corespondent,defendant,532
3,plaintiff,litigant,532
4,defendant,litigant,532
5,appellant,litigant,532
6,prevailing_party,litigant,532
7,suer,plaintiff,532
0,mercifulness,compassion,535
1,tenderness,compassion,535
2,commiseration,sympathy,535
0,pygmy_marmoset,marmoset,24
1,true_marmoset,marmoset,24
2,squirrel_monkey,new_world_monkey,24
3,capuchin,new_world_monkey,24
4,howler_monkey,new_world_monkey,24
5,woolly_monkey,new_world_monkey,24
6,titi,new_world_monkey,24
7,spider_monkey,new_world_monkey,24
8,saki,new_world_monkey,24
9,douroucouli,new_world_monkey,24
10,marmoset,new_world_monkey,24
11,uakari,new_world_monkey,24
12,tamarin,new_world_monkey,24
13,silky_tamarin,tamarin,24
0,hackle,contour_feather,33
1,scapular,contour_feather,33
2,goose_down,down,33
3,swan's_down,down,33
4,duck_down,down,33
5,eiderdown,down,33
6,plumule,down,33
7,down,feather,33
8,flight_feather,feather,33
9,contour_feather,feather,33
10,primary,flight_feather,33
11,saddle_hackle,hackle,33
0,trouser_cuff,cuff,42
1,pocket_flap,flap,42
2,earflap,flap,42
3,tent-fly,flap,42
4,lap,flap,42
5,cuff,flap,42
6,codpiece,flap,42
7,barndoor,flap,42
8,jag,flap,42
9,lappet,flap,42
10,tongue,flap,42
0,merckx,cyclist,559
1,hinault,cyclist,559
2,pedaler,cyclist,559
3,fox_hunter,horseman,559
4,horseman,rider,559
5,horsewoman,rider,559
6,hang_glider,rider,559
7,jockey,rider,559
8,cyclist,rider,559
0,broccoli_rabe,broccoli,561
1,head_cabbage,cabbage,561
2,savoy_cabbage,cabbage,561
3,red_cabbage,cabbage,561
4,brussels_sprouts,cabbage,561
5,cabbage,cruciferous_vegetable,561
6,broccoli,cruciferous_vegetable,561
7,turnip,cruciferous_vegetable,561
8,radish,cruciferous_vegetable,561
9,kohlrabi,cruciferous_vegetable,561
10,mustard,cruciferous_vegetable,561
11,kale,cruciferous_vegetable,561
12,white_turnip,turnip,561
13,rutabaga,turnip,561
0,black-footed_albatross,albatross,563
1,wandering_albatross,albatross,563
2,stormy_petrel,petrel,563
3,storm_petrel,petrel,563
4,white-chinned_petrel,petrel,563
5,giant_petrel,petrel,563
6,diving_petrel,petrel,563
7,mother_carey's_chicken,petrel,563
8,albatross,procellariiform_seabird,563
9,shearwater,procellariiform_seabird,563
10,petrel,procellariiform_seabird,563
11,manx_shearwater,shearwater,563
0,rhythm,musical_time,569
1,tempo,musical_time,569
2,syncopation,rhythm,569
3,backbeat,rhythm,569
4,in_time,rhythm,569
5,upbeat,rhythm,569
6,downbeat,rhythm,569
7,allegro,tempo,569
8,allegretto,tempo,569
9,andante,tempo,569
10,meno_mosso,tempo,569
11,allegro_con_spirito,tempo,569
12,accelerando,tempo,569
0,aspirin_powder,aspirin,58
1,buffered_aspirin,aspirin,58
2,enteric-coated_aspirin,aspirin,58
3,ketorolac_tromethamine,ketorolac,58
4,naproxen_sodium,naproxen,58
5,salicylate,nonsteroidal_anti-inflammatory,58
6,ketorolac,nonsteroidal_anti-inflammatory,58
7,naproxen,nonsteroidal_anti-inflammatory,58
8,mefenamic_acid,nonsteroidal_anti-inflammatory,58
9,tolmetin_sodium,nonsteroidal_anti-inflammatory,58
10,ketoprofen,nonsteroidal_anti-inflammatory,58
11,nabumetone,nonsteroidal_anti-inflammatory,58
12,sulindac,nonsteroidal_anti-inflammatory,58
13,diflunisal,nonsteroidal_anti-inflammatory,58
14,flurbiprofen,nonsteroidal_anti-inflammatory,58
15,piroxicam,nonsteroidal_anti-inflammatory,58
16,fenoprofen,nonsteroidal_anti-inflammatory,58
17,oxaprozin,nonsteroidal_anti-inflammatory,58
18,meclofenamate,nonsteroidal_anti-inflammatory,58
19,etodolac,nonsteroidal_anti-inflammatory,58
20,aspirin,salicylate,58
0,matchwood,fragment,64
1,cinder,fragment,64
2,splinter,fragment,64
3,clast,fragment,64
4,spall,fragment,64
5,filing,fragment,64
6,scraping,fragment,64
7,brickbat,fragment,64
8,turning,fragment,64
0,lucy,australopithecus_afarensis,577
1,homo,hominid,577
2,dryopithecine,hominid,577
3,homo_sapiens,homo,577
4,homo_erectus,homo,577
5,homo_habilis,homo,577
6,homo_soloensis,homo,577
7,homo_sapiens_sapiens,homo_sapiens,577
8,cro-magnon,homo_sapiens,577
9,hominid,world,577
0,primary_syphilis,syphilis,584
1,secondary_syphilis,syphilis,584
2,tertiary_syphilis,syphilis,584
3,neurosyphilis,syphilis,584
4,tabes_dorsalis,tertiary_syphilis,584
5,syphilis,venereal_disease,584
6,chlamydia,venereal_disease,584
7,gonorrhea,venereal_disease,584
8,genital_herpes,venereal_disease,584
9,granuloma_inguinale,venereal_disease,584
10,lymphogranuloma_venereum,venereal_disease,584
0,support_column,column,589
1,caryatid,column,589
2,telephone_pole,post,589
3,lamppost,post,589
4,gatepost,post,589
5,stanchion,post,589
6,whipping_post,post,589
7,hitching_post,post,589
8,goalpost,post,589
9,bollard,post,589
10,column,post,589
11,upright,post,589
12,timber,post,589
13,carrick_bitt,post,589
14,corner_post,post,589
15,riding_bitt,post,589
0,atlantic_bottlenose_dolphin,bottlenose_dolphin,86
1,pacific_bottlenose_dolphin,bottlenose_dolphin,86
2,bottlenose_dolphin,dolphin,86
3,common_dolphin,dolphin,86
4,harbor_porpoise,porpoise,86
5,pygmy_sperm_whale,sperm_whale,86
6,dwarf_sperm_whale,sperm_whale,86
7,dolphin,toothed_whale,86
8,porpoise,toothed_whale,86
9,sperm_whale,toothed_whale,86
10,pilot_whale,toothed_whale,86
11,white_whale,toothed_whale,86
12,beaked_whale,toothed_whale,86
0,fir_clubmoss,club_moss,599
1,alpine_clubmoss,club_moss,599
2,shining_clubmoss,club_moss,599
3,club_moss,fern_ally,599
4,horsetail,fern_ally,599
5,whisk_fern,fern_ally,599
6,variegated_horsetail,horsetail,599
7,common_horsetail,horsetail,599
8,marsh_horsetail,horsetail,599
9,swamp_horsetail,horsetail,599
10,wood_horsetail,horsetail,599
11,scouring_rush,horsetail,599
0,screening,examination,88
1,inspection,examination,88
0,eagle_scout,boy_scout,92
1,boy_scout,male_child,92
2,scout,male_child,92
3,plowboy,male_child,92
4,farm_boy,male_child,92
5,shop_boy,male_child,92
6,ball_boy,male_child,92
7,bat_boy,male_child,92
8,schoolboy,male_child,92
9,fauntleroy,male_child,92
10,catamite,male_child,92
11,altar_boy,male_child,92
0,aegean_civilization,civilization,607
1,minoan_civilization,civilization,607
2,mycenaean_civilization,civilization,607
3,indus_civilization,civilization,607
4,helladic_civilization,civilization,607
5,society,culture,607
6,civilization,culture,607
7,tribal_society,society,607
8,open_society,society,607
9,hunting_and_gathering_tribe,tribal_society,607
0,fellatio,oral_sex,608
1,cunnilingus,oral_sex,608
2,soixante-neuf,oral_sex,608
3,fetishism,paraphilia,608
4,voyeurism,paraphilia,608
5,exhibitionism,paraphilia,608
6,zoophilia,paraphilia,608
7,pedophilia,paraphilia,608
8,pederasty,paraphilia,608
0,mudhif,hut,101
1,tent,shelter,101
2,hut,shelter,101
3,safe_house,shelter,101
4,refuge,shelter,101
5,safehold,shelter,101
6,cookhouse,shelter,101
7,pup_tent,tent,101
8,bell_tent,tent,101
9,pyramidal_tent,tent,101
10,sibley_tent,tent,101
11,two-man_tent,tent,101
12,backpacking_tent,tent,101
13,field_tent,tent,101
14,canvas_tent,tent,101
15,fly_tent,tent,101
16,mountain_tent,tent,101
17,pop_tent,tent,101
18,circus_tent,tent,101
19,umbrella_tent,tent,101
0,gong,percussion_instrument,105
1,maraca,percussion_instrument,105
2,cymbal,percussion_instrument,105
3,triangle,percussion_instrument,105
4,tambour,percussion_instrument,105
5,drum,percussion_instrument,105
6,bones,percussion_instrument,105
7,steel_drum,percussion_instrument,105
8,tambourine,percussion_instrument,105
9,vibraphone,percussion_instrument,105
10,chime,percussion_instrument,105
11,marimba,percussion_instrument,105
12,rain_stick,percussion_instrument,105
13,spinet,piano,105
14,mechanical_piano,piano,105
15,grand_piano,piano,105
0,timecard,card,619
1,corrugated_board,cardboard,619
2,excelsior,packing_material,619
3,binder's_board,paperboard,619
0,summer_squash,squash,625
1,winter_squash,squash,625
2,zucchini,summer_squash,625
3,yellow_squash,summer_squash,625
4,cocozelle,summer_squash,625
5,butternut_squash,winter_squash,625
6,hubbard_squash,winter_squash,625
7,turban_squash,winter_squash,625
8,buttercup_squash,winter_squash,625
9,acorn_squash,winter_squash,625
10,pumpkin,winter_squash,625
11,cushaw,winter_squash,625
12,spaghetti_squash,winter_squash,625
0,salesclerk,salesperson,626
1,salesgirl,salesperson,626
2,shop_girl,salesperson,626
3,shop_boy,salesperson,626
4,traveling_salesman,salesperson,626
5,pitchman,salesperson,626
6,demonstrator,salesperson,626
7,book_agent,salesperson,626
8,tallyman,salesperson,626
9,salesman,salesperson,626
0,woolly_aphid,aphid,631
1,pine_leaf_aphid,aphid,631
2,adelgid,aphid,631
3,plant_louse,aphid,631
4,green_peach_aphid,aphid,631
5,blackfly,aphid,631
6,pale_chrysanthemum_aphid,aphid,631
7,spruce_gall_aphid,aphid,631
8,apple_aphid,aphid,631
9,grape_louse,aphid,631
10,greenfly,aphid,631
11,ant_cow,aphid,631
12,jumping_plant_louse,aphid,631
13,woolly_apple_aphid,woolly_aphid,631
0,western_chimpanzee,chimpanzee,635
1,central_chimpanzee,chimpanzee,635
2,eastern_chimpanzee,chimpanzee,635
3,pygmy_chimpanzee,chimpanzee,635
4,western_lowland_gorilla,gorilla,635
5,eastern_lowland_gorilla,gorilla,635
6,mountain_gorilla,gorilla,635
7,silverback,gorilla,635
8,gorilla,great_ape,635
9,chimpanzee,great_ape,635
10,orangutan,great_ape,635
11,gibbon,lesser_ape,635
12,siamang,lesser_ape,635
0,augur,diviner,640
1,sibyl,diviner,640
2,prophet,diviner,640
3,prophetess,diviner,640
4,oneiromancer,diviner,640
5,hydromancer,diviner,640
6,lithomancer,diviner,640
7,geomancer,diviner,640
8,pyromancer,diviner,640
9,water_witch,hydromancer,640
0,alzheimer's_disease,dementia,648
1,senile_dementia,dementia,648
2,presenile_dementia,dementia,648
3,pick's_disease,dementia,648
4,alcoholic_dementia,dementia,648
5,irrationality,insanity,648
6,lunacy,insanity,648
7,craziness,insanity,648
8,derangement,insanity,648
0,hypochromic_anemia,anemia,137
1,hyperchromic_anemia,anemia,137
2,iron_deficiency_anemia,anemia,137
3,sickle-cell_anemia,anemia,137
4,pernicious_anemia,anemia,137
5,thalassemia,anemia,137
6,microcytic_anemia,anemia,137
7,macrocytic_anemia,anemia,137
8,hemolytic_anemia,anemia,137
9,sideroblastic_anemia,anemia,137
10,aplastic_anemia,anemia,137
11,hypoplastic_anemia,anemia,137
12,refractory_anemia,anemia,137
13,chlorosis,anemia,137
14,ischemia,anemia,137
15,metaplastic_anemia,anemia,137
16,transient_ischemic_attack,ischemia,137
17,ischemic_stroke,ischemia,137
18,megaloblastic_anemia,macrocytic_anemia,137
0,bachelorhood,marital_status,138
1,spinsterhood,marital_status,138
2,widowhood,marital_status,138
3,cuckoldom,marital_status,138
4,monogamy,marriage,138
5,polygamy,marriage,138
6,marriage_of_convenience,marriage,138
7,sigeh,marriage,138
8,endogamy,marriage,138
9,exogamy,marriage,138
10,misalliance,marriage,138
