,child,parent,group
0,computer-aided_design,architecture_(buildings),10010405_7
1,fine_arts,arts_and_humanities,10010405_7
2,performing_arts,arts_and_humanities,10010405_7
3,language_translation,arts_and_humanities,10010405_7
4,architecture_(buildings),arts_and_humanities,10010405_7
5,media_arts,fine_arts,10010405_7
6,sound_and_music_computing,performing_arts,10010405_7
0,turing_machines,abstract_machines,10003752_1
1,lambda_calculus,abstract_machines,10003752_1
2,recursive_functions,computability,10003752_1
3,abstract_machines,models_of_computation,10003752_1
4,process_calculi,models_of_computation,10003752_1
5,distributed_computing_models,models_of_computation,10003752_1
6,parallel_computing_models,models_of_computation,10003752_1
7,concurrency,models_of_computation,10003752_1
8,computability,models_of_computation,10003752_1
9,probabilistic_computation,models_of_computation,10003752_1
10,interactive_computation,models_of_computation,10003752_1
11,timed_and_hybrid_models,models_of_computation,10003752_1
12,streaming_models,models_of_computation,10003752_1
13,quantum_computation_theory,models_of_computation,10003752_1
14,quantum_complexity_theory,quantum_computation_theory,10003752_1
15,quantum_query_complexity,quantum_computation_theory,10003752_1
16,quantum_information_theory,quantum_computation_theory,10003752_1
17,quantum_communication_complexity,quantum_computation_theory,10003752_1
0,"accessibility_theory,_concepts_and_paradigms",accessibility,10003120_6
1,accessibility_design_and_evaluation_methods,accessibility,10003120_6
2,accessibility_systems_and_tools,accessibility,10003120_6
3,accessibility_technologies,accessibility,10003120_6
4,empirical_studies_in_accessibility,accessibility,10003120_6
0,smartphones,mobile_devices,10003120_4
1,tablet_computers,mobile_devices,10003120_4
2,personal_digital_assistants,mobile_devices,10003120_4
3,e-book_readers,mobile_devices,10003120_4
4,portable_media_players,mobile_devices,10003120_4
5,handheld_game_consoles,mobile_devices,10003120_4
6,ubiquitous_computing,ubiquitous_and_mobile_computing,10003120_4
7,mobile_computing,ubiquitous_and_mobile_computing,10003120_4
8,ubiquitous_and_mobile_devices,ubiquitous_and_mobile_computing,10003120_4
9,ubiquitous_and_mobile_computing_systems_and_tools,ubiquitous_and_mobile_computing,10003120_4
10,empirical_studies_in_ubiquitous_and_mobile_computing,ubiquitous_and_mobile_computing,10003120_4
11,ubiquitous_and_mobile_computing_design_and_evaluation_methods,ubiquitous_and_mobile_computing,10003120_4
12,"ubiquitous_and_mobile_computing_theory,_concepts_and_paradigms",ubiquitous_and_mobile_computing,10003120_4
13,ambient_intelligence,ubiquitous_and_mobile_computing,10003120_4
14,interactive_whiteboards,ubiquitous_and_mobile_computing,10003120_4
15,mobile_phones,ubiquitous_and_mobile_devices,10003120_4
16,mobile_devices,ubiquitous_and_mobile_devices,10003120_4
0,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,verification_by_model_checking,automated_reasoning,10003752_4
1,type_theory,logic,10003752_4
2,modal_and_temporal_logics,logic,10003752_4
3,linear_logic,logic,10003752_4
4,proof_theory,logic,10003752_4
5,higher_order_logic,logic,10003752_4
6,constraint_and_logic_programming,logic,10003752_4
7,description_logics,logic,10003752_4
8,equational_logic_and_rewriting,logic,10003752_4
9,programming_logic,logic,10003752_4
10,automated_reasoning,logic,10003752_4
11,finite_model_theory,logic,10003752_4
12,logic_and_verification,logic,10003752_4
13,constructive_mathematics,logic,10003752_4
14,hoare_logic,logic_and_verification,10003752_4
15,separation_logic,logic_and_verification,10003752_4
16,abstraction,logic_and_verification,10003752_4
0,"bug_detection,_localization_and_diagnosis",functional_verification,10010583_7
1,simulation_and_emulation,functional_verification,10010583_7
2,assertion_checking,functional_verification,10010583_7
3,model_checking,functional_verification,10010583_7
4,equivalence_checking,functional_verification,10010583_7
5,theorem_proving_and_sat_solving,functional_verification,10010583_7
6,hardware_validation,functional_verification,10010583_7
7,power_and_thermal_analysis,functional_verification,10010583_7
8,coverage_metrics,functional_verification,10010583_7
9,semi-formal_verification,functional_verification,10010583_7
10,transaction-level_verification,functional_verification,10010583_7
11,post-manufacture_validation_and_debug,functional_verification,10010583_7
12,bug_fixing_(hardware),functional_verification,10010583_7
13,design_for_debug,functional_verification,10010583_7
14,design_rule_checking,hardware_validation,10010583_7
15,layout-versus-schematics,hardware_validation,10010583_7
16,physical_verification,hardware_validation,10010583_7
17,timing_analysis_and_sign-off,hardware_validation,10010583_7
0,agriculture,computers_in_other_domains,10010405_8
1,computing_in_government,computers_in_other_domains,10010405_8
2,digital_libraries_and_archives,computers_in_other_domains,10010405_8
3,personal_computers_and_pc_applications,computers_in_other_domains,10010405_8
4,publishing,computers_in_other_domains,10010405_8
5,military,computers_in_other_domains,10010405_8
6,e-government,computing_in_government,10010405_8
7,cyberwarfare,computing_in_government,10010405_8
8,cartography,computing_in_government,10010405_8
9,voting_/_election_technologies,e-government,10010405_8
10,word_processors,personal_computers_and_pc_applications,10010405_8
11,spreadsheets,personal_computers_and_pc_applications,10010405_8
12,microcomputers,personal_computers_and_pc_applications,10010405_8
13,computer_games,personal_computers_and_pc_applications,10010405_8
0,procedural_animation,animation,10010147_6
1,motion_capture,animation,10010147_6
2,motion_processing,animation,10010147_6
3,graphics_systems_and_interfaces,computer_graphics,10010147_6
4,graphics_processors,computer_graphics,10010147_6
5,rendering,computer_graphics,10010147_6
6,animation,computer_graphics,10010147_6
7,mesh_geometry_models,computer_graphics,10010147_6
8,point-based_models,computer_graphics,10010147_6
9,volumetric_models,computer_graphics,10010147_6
10,parametric_curve_and_surface_models,computer_graphics,10010147_6
11,shape_modeling,computer_graphics,10010147_6
12,shape_analysis,computer_graphics,10010147_6
13,collision_detection,computer_graphics,10010147_6
14,image_processing,computer_graphics,10010147_6
15,image_manipulation,computer_graphics,10010147_6
16,virtual_reality,computer_graphics,10010147_6
17,mixed_/_augmented_reality,computer_graphics,10010147_6
18,graphics_input_devices,computer_graphics,10010147_6
19,graphics_file_formats,computer_graphics,10010147_6
20,perception,computer_graphics,10010147_6
21,reflectance_modeling,computer_graphics,10010147_6
22,visibility,computer_graphics,10010147_6
23,image_compression,computer_graphics,10010147_6
24,computational_photography,computer_graphics,10010147_6
25,physical_simulation,computer_graphics,10010147_6
26,mesh_models,computer_graphics,10010147_6
27,texturing,image_processing,10010147_6
28,ray_tracing,rendering,10010147_6
29,rasterization,rendering,10010147_6
30,non-photorealistic_rendering,rendering,10010147_6
31,image-based_rendering,rendering,10010147_6
32,antialiasing,rendering,10010147_6
0,mobile_ad_hoc_networks,mobile_networks,10003033_8
1,wireless_access_networks,network_types,10003033_8
2,data_center_networks,network_types,10003033_8
3,world_wide_web_(network_structure),network_types,10003033_8
4,ad_hoc_networks,network_types,10003033_8
5,packet-switching_networks,network_types,10003033_8
6,overlay_and_other_logical_network_structures,network_types,10003033_8
7,storage_area_networks,network_types,10003033_8
8,public_internet,network_types,10003033_8
9,network_on_chip,network_types,10003033_8
10,online_social_networks,network_types,10003033_8
11,peer-to-peer_networks,network_types,10003033_8
12,wired_access_networks,network_types,10003033_8
13,mobile_networks,network_types,10003033_8
14,sensor_networks,network_types,10003033_8
15,cyber-physical_networks,network_types,10003033_8
16,home_networks,network_types,10003033_8
17,social_media_networks,online_social_networks,10003033_8
18,wireless_personal_area_networks,wireless_access_networks,10003033_8
19,wireless_local_area_networks,wireless_access_networks,10003033_8
0,networking_hardware,"communication_hardware,_interfaces_and_storage",10010583_2
1,wireless_devices,"communication_hardware,_interfaces_and_storage",10010583_2
2,external_storage,"communication_hardware,_interfaces_and_storage",10010583_2
3,sensors_and_actuators,"communication_hardware,_interfaces_and_storage",10010583_2
4,displays_and_imagers,"communication_hardware,_interfaces_and_storage",10010583_2
