,child,parent,group
0,distance_learning,e-learning,10010405_10
1,learning_management_systems,e-learning,10010405_10
2,interactive_learning_environments,e-learning,10010405_10
3,collaborative_learning,e-learning,10010405_10
4,computer-assisted_instruction,e-learning,10010405_10
5,computer-managed_instruction,e-learning,10010405_10
6,e-learning,education,10010405_10
7,digital_libraries_and_archives,education,10010405_10
0,adolescents,age,10003456_3
1,children,age,10003456_3
2,seniors,age,10003456_3
3,race_and_ethnicity,cultural_characteristics,10003456_3
4,religious_orientation,cultural_characteristics,10003456_3
5,men,gender,10003456_3
6,women,gender,10003456_3
7,age,user_characteristics,10003456_3
8,gender,user_characteristics,10003456_3
9,people_with_disabilities,user_characteristics,10003456_3
10,cultural_characteristics,user_characteristics,10003456_3
11,sexual_orientation,user_characteristics,10003456_3
12,geographic_characteristics,user_characteristics,10003456_3
0,high-level_and_register-transfer_level_synthesis,electronic_design_automation,10010583_6
1,hardware-software_codesign,electronic_design_automation,10010583_6
2,hardware_description_languages_and_compilation,electronic_design_automation,10010583_6
3,circuit_optimization,electronic_design_automation,10010583_6
4,timing_analysis,electronic_design_automation,10010583_6
5,power_grid_design,electronic_design_automation,10010583_6
6,electrical-level_simulation,electronic_design_automation,10010583_6
7,resource_binding_and_sharing,electronic_design_automation,10010583_6
8,operations_scheduling,electronic_design_automation,10010583_6
9,best_practices_for_eda,electronic_design_automation,10010583_6
10,design_databases_for_eda,electronic_design_automation,10010583_6
11,methodologies_for_eda,electronic_design_automation,10010583_6
12,software_tools_for_eda,electronic_design_automation,10010583_6
13,logic_synthesis,electronic_design_automation,10010583_6
14,physical_design_(eda),electronic_design_automation,10010583_6
15,packaging,electronic_design_automation,10010583_6
16,combinational_synthesis,logic_synthesis,10010583_6
17,sequential_synthesis,logic_synthesis,10010583_6
18,placement,physical_design_(eda),10010583_6
19,wire_routing,physical_design_(eda),10010583_6
20,static_timing_analysis,timing_analysis,10010583_6
21,transition-based_timing_analysis,timing_analysis,10010583_6
22,statistical_timing_analysis,timing_analysis,10010583_6
0,economics_of_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
1,social_aspects_of_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
2,usability_in_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
3,privacy_protections,human_and_societal_aspects_of_security_and_privacy,10002978_10
0,wireless_access_networks,network_types,10003033_8
1,data_center_networks,network_types,10003033_8
2,world_wide_web_(network_structure),network_types,10003033_8
3,ad_hoc_networks,network_types,10003033_8
4,packet-switching_networks,network_types,10003033_8
5,overlay_and_other_logical_network_structures,network_types,10003033_8
6,storage_area_networks,network_types,10003033_8
7,public_internet,network_types,10003033_8
8,network_on_chip,network_types,10003033_8
9,online_social_networks,network_types,10003033_8
10,peer-to-peer_networks,network_types,10003033_8
11,wired_access_networks,network_types,10003033_8
12,mobile_networks,network_types,10003033_8
13,sensor_networks,network_types,10003033_8
14,cyber-physical_networks,network_types,10003033_8
15,home_networks,network_types,10003033_8
0,abstract_machines,models_of_computation,10003752_1
1,process_calculi,models_of_computation,10003752_1
2,distributed_computing_models,models_of_computation,10003752_1
3,parallel_computing_models,models_of_computation,10003752_1
4,concurrency,models_of_computation,10003752_1
5,computability,models_of_computation,10003752_1
6,probabilistic_computation,models_of_computation,10003752_1
7,interactive_computation,models_of_computation,10003752_1
8,timed_and_hybrid_models,models_of_computation,10003752_1
9,streaming_models,models_of_computation,10003752_1
10,quantum_computation_theory,models_of_computation,10003752_1
11,quantum_complexity_theory,quantum_computation_theory,10003752_1
12,quantum_query_complexity,quantum_computation_theory,10003752_1
13,quantum_information_theory,quantum_computation_theory,10003752_1
14,quantum_communication_complexity,quantum_computation_theory,10003752_1
0,type_theory,logic,10003752_4
1,modal_and_temporal_logics,logic,10003752_4
2,linear_logic,logic,10003752_4
3,proof_theory,logic,10003752_4
4,higher_order_logic,logic,10003752_4
5,constraint_and_logic_programming,logic,10003752_4
6,description_logics,logic,10003752_4
7,equational_logic_and_rewriting,logic,10003752_4
8,programming_logic,logic,10003752_4
9,automated_reasoning,logic,10003752_4
10,finite_model_theory,logic,10003752_4
11,logic_and_verification,logic,10003752_4
12,constructive_mathematics,logic,10003752_4
13,separation_logic,logic_and_verification,10003752_4
14,verification_by_model_checking,logic_and_verification,10003752_4
0,design_for_testability,hardware_test,10010583_8
1,built-in_self-test,hardware_test,10010583_8
2,test-pattern_generation_and_fault_simulation,hardware_test,10010583_8
3,fault_models_and_test_metrics,hardware_test,10010583_8
4,board-_and_system-level_test,hardware_test,10010583_8
5,"analog,_mixed-signal_and_radio_frequency_test",hardware_test,10010583_8
6,memory_test_and_repair,hardware_test,10010583_8
7,defect-based_test,hardware_test,10010583_8
8,online_test_and_diagnostics,hardware_test,10010583_8
9,test_data_compression,hardware_test,10010583_8
10,testing_with_distributed_and_parallel_systems,hardware_test,10010583_8
11,hardware_reliability_screening,hardware_test,10010583_8
0,network_monitoring,network_management,10003033_7
1,programmable_networks,network_management,10003033_7
2,naming_and_addressing,network_management,10003033_7
3,network_services,network_management,10003033_7
4,cloud_computing,network_services,10003033_7
5,location_based_services,network_services,10003033_7
0,formal_security_models,formal_methods_and_theory_of_security,10002978_2
1,logic_and_verification,formal_methods_and_theory_of_security,10002978_2
