,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Combinatorics on words,Combinatorics
2,10002950_1,Matroids and greedoids,Combinatorics
3,10002950_1,Combinatorial algorithms,Combinatorics
4,10002950_1,Combinatorial optimization,Combinatorial algorithms
5,10002950_1,Approximation algorithms,Combinatorial algorithms
6,10002950_1,Graph theory,Combinatorics
7,10002950_1,Trees,Graph theory
8,10002950_1,Random graphs,Graph theory
9,10002950_1,Hypergraphs,Graph theory
10,10002950_1,Graph algorithms,Graph theory
11,10002950_1,Graph enumeration,Graph theory
12,10002950_1,Spectra of graphs,Graph theory
13,10002950_1,Graph coloring,Graph theory
14,10002950_1,Network flows,Graph algorithms
15,10002950_1,Paths and connectivity problems,Graph algorithms
16,10002950_1,Extremal graph theory,Graph theory
17,10002950_1,Graphs and surfaces,Graph theory
18,10002950_1,Permutations and combinations,Combinatorics
19,10002950_1,Matchings and factors,Graph theory
20,10002950_1,Enumeration,Discrete mathematics
21,10002950_4,Numerical analysis,Mathematical analysis
22,10002950_4,Numerical differentiation,Numerical analysis
23,10002950_4,Quadrature,Numerical analysis
24,10002950_4,Interpolation,Numerical analysis
25,10002950_4,Approximation,Numerical analysis
26,10002950_4,Discretization,Numerical analysis
27,10002950_4,Calculus,Mathematical analysis
28,10002950_4,Differential calculus,Calculus
29,10002950_4,Integral calculus,Calculus
30,10002950_4,Differential equations,Calculus
31,10002950_4,Ordinary differential equations,Differential equations
32,10002950_4,Partial differential equations,Differential equations
33,10002950_4,Optimization,Mathematical analysis
34,10002950_4,Convex optimization,Optimization
35,10002950_4,Nonconvex optimization,Optimization
36,10002950_4,Discrete optimization,Optimization
37,10002950_4,Integer programming,Discrete optimization
38,10002950_4,Semidefinite programming,Optimization
39,10002950_4,Quadratic programming,Optimization
40,10002950_4,Stochastic control and optimization,Optimization
41,10002950_4,Computations in mathematics,Mathematical analysis
42,10002950_4,Number-theoretic computations,Computations in mathematics
43,10002950_4,Computations on matrices,Computations in mathematics
44,10002950_4,Arbitrary-precision arithmetic,Computations in mathematics
45,10002950_4,Computation of transforms,Computations in mathematics
46,10002950_4,Algebraic geometry,Mathematical analysis
47,10002950_4,Functional analysis,Mathematical analysis
48,10002950_4,Interval arithmetic,Mathematical analysis
49,10002950_4,Computations in finite fields,Mathematical analysis
50,10002950_5,Calculus,Continuous mathematics
51,10002950_5,Continuous functions,Continuous mathematics
52,10002950_5,Topology,Continuous mathematics
53,10002950_5,Point-set topology,Topology
54,10002950_5,Algebraic topology,Topology
55,10002950_5,Geometric topology,Topology
56,10002951_3,Data mining,Information Systems
57,10002951_3,Data warehouses,Data Management
58,10002951_3,Data analytics,Data Management
59,10002951_3,Data stream mining,Data Mining
60,10002951_3,Data cleaning,Data Management
61,10002951_3,Clustering,Data Mining
62,10002951_3,Nearest-neighbor search,Data Mining
63,10002951_3,Association rules,Data Mining
64,10002951_3,Enterprise resource planning,Information Systems
65,10002951_3,Enterprise applications,Enterprise Systems
66,10002951_3,Enterprise information systems,Enterprise Systems
67,10002951_3,Extranets,Enterprise Systems
68,10002951_3,Intranets,Enterprise Systems
69,10002951_3,Multimedia information systems,Information Systems
70,10002951_3,Multimedia content creation,Multimedia Systems
71,10002951_3,Multimedia databases,Multimedia Systems
72,10002951_3,Multimedia streaming,Multimedia Systems
73,10002951_3,Collaborative and social computing systems and tools,Information Systems
