,child,parent,group
0,distributed_systems_security,systems_security,10002978_6
1,operating_systems_security,systems_security,10002978_6
2,vulnerability_management,systems_security,10002978_6
3,browser_security,systems_security,10002978_6
4,mobile_platform_security,systems_security,10002978_6
5,trusted_computing,systems_security,10002978_6
6,virtualization_and_security,systems_security,10002978_6
7,information_flow_control,systems_security,10002978_6
8,firewalls,systems_security,10002978_6
9,denial-of-service_attacks,systems_security,10002978_6
10,vulnerability_scanners,vulnerability_management,10002978_6
0,complexity_classes,complexity_theory_and_logic,10003752_3
1,"problems,_reductions_and_completeness",complexity_theory_and_logic,10003752_3
2,computational_complexity_and_cryptography,complexity_theory_and_logic,10003752_3
3,proof_complexity,complexity_theory_and_logic,10003752_3
4,cryptographic_protocols,computational_complexity_and_cryptography,10003752_3
5,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,procedural_animation,animation,10010147_6
1,motion_capture,animation,10010147_6
2,motion_processing,animation,10010147_6
3,graphics_systems_and_interfaces,computer_graphics,10010147_6
4,rendering,computer_graphics,10010147_6
5,shape_modeling,computer_graphics,10010147_6
6,animation,computer_graphics,10010147_6
7,image_processing,computer_graphics,10010147_6
8,virtual_reality,computer_graphics,10010147_6
9,physical_simulation,computer_graphics,10010147_6
10,graphics_file_formats,computer_graphics,10010147_6
11,graphics_input_devices,computer_graphics,10010147_6
12,perception,computer_graphics,10010147_6
13,collision_detection,computer_graphics,10010147_6
14,computational_photography,computer_graphics,10010147_6
15,mixed_/_augmented_reality,computer_graphics,10010147_6
16,image_manipulation,computer_graphics,10010147_6
17,ray_tracing,rendering,10010147_6
18,rasterization,rendering,10010147_6
19,non-photorealistic_rendering,rendering,10010147_6
20,antialiasing,rendering,10010147_6
0,vlsi_design_manufacturing_considerations,very_large_scale_integration_design,10010583_4
1,application_specific_integrated_circuits,very_large_scale_integration_design,10010583_4
2,standard_cell_libraries,very_large_scale_integration_design,10010583_4
3,design_rules,very_large_scale_integration_design,10010583_4
4,design_reuse_and_communication-based_design,very_large_scale_integration_design,10010583_4
5,vlsi_packaging,very_large_scale_integration_design,10010583_4
6,on-chip_resource_management,very_large_scale_integration_design,10010583_4
7,platform-based_design,very_large_scale_integration_design,10010583_4
8,economics_of_chip_design_and_manufacturing,very_large_scale_integration_design,10010583_4
9,radio_frequency_and_wireless_circuits,very_large_scale_integration_design,10010583_4
10,multi-chip_modules,very_large_scale_integration_design,10010583_4
11,system_on_a_chip,very_large_scale_integration_design,10010583_4
12,network_on_chip,very_large_scale_integration_design,10010583_4
13,analog_and_mixed-signal_circuits,very_large_scale_integration_design,10010583_4
14,hard_and_soft_ip,very_large_scale_integration_design,10010583_4
15,full-custom_circuits,very_large_scale_integration_design,10010583_4
16,wireline_communication,very_large_scale_integration_design,10010583_4
17,on-chip_sensors,very_large_scale_integration_design,10010583_4
0,collaborative_and_social_computing_systems_and_tools,collaborative_and_social_computing,10003120_3
1,"collaborative_and_social_computing_theory,_concepts_and_paradigms",collaborative_and_social_computing,10003120_3
2,computer_supported_cooperative_work,collaborative_and_social_computing,10003120_3
3,collaborative_content_creation,collaborative_and_social_computing,10003120_3
4,social_networks,collaborative_and_social_computing,10003120_3
5,ethnographic_studies,collaborative_and_social_computing,10003120_3
6,empirical_studies_in_collaborative_and_social_computing,collaborative_and_social_computing,10003120_3
7,social_engineering_(social_sciences),collaborative_and_social_computing,10003120_3
8,social_recommendation,collaborative_and_social_computing,10003120_3
9,collaborative_and_social_computing_design_and_evaluation_methods,collaborative_and_social_computing,10003120_3
10,collaborative_filtering,collaborative_and_social_computing,10003120_3
11,collaborative_and_social_computing_devices,collaborative_and_social_computing,10003120_3
0,methodologies_for_eda,electronic_design_automation,10010583_6
1,best_practices_for_eda,electronic_design_automation,10010583_6
2,software_tools_for_eda,electronic_design_automation,10010583_6
3,logic_synthesis,electronic_design_automation,10010583_6
4,physical_design_(eda),electronic_design_automation,10010583_6
5,packaging,electronic_design_automation,10010583_6
6,timing_analysis,electronic_design_automation,10010583_6
7,electrical-level_simulation,electronic_design_automation,10010583_6
8,circuit_optimization,electronic_design_automation,10010583_6
9,model-order_reduction,electronic_design_automation,10010583_6
10,hardware_description_languages_and_compilation,electronic_design_automation,10010583_6
11,hardware-software_codesign,electronic_design_automation,10010583_6
12,operations_scheduling,electronic_design_automation,10010583_6
13,technology-mapping,electronic_design_automation,10010583_6
14,partitioning_and_floorplanning,physical_design_(eda),10010583_6
15,placement,physical_design_(eda),10010583_6
16,wire_routing,physical_design_(eda),10010583_6
17,static_timing_analysis,timing_analysis,10010583_6
18,statistical_timing_analysis,timing_analysis,10010583_6
19,transition-based_timing_analysis,timing_analysis,10010583_6
0,document_capture,document_management,10010405_11
1,document_metadata,document_management,10010405_11
2,document_management,document_management_and_text_processing,10010405_11
3,document_scripting_languages,document_management_and_text_processing,10010405_11
4,markup_languages,document_management_and_text_processing,10010405_11
5,document_analysis,document_management_and_text_processing,10010405_11
6,hypertext_/_hypermedia_creation,document_management_and_text_processing,10010405_11
7,multi_/_mixed_media_creation,document_management_and_text_processing,10010405_11
8,image_composition,document_management_and_text_processing,10010405_11
9,text_editing,document_management_and_text_processing,10010405_11
10,document_preparation,document_management_and_text_processing,10010405_11
0,routers,intermediate_nodes,10003033_3
1,bridges_and_switches,intermediate_nodes,10003033_3
2,network_adapters,network_components,10003033_3
3,intermediate_nodes,network_components,10003033_3
4,"wireless_access_points,_base_stations_and_infrastructure",network_components,10003033_3
5,cognitive_radios,network_components,10003033_3
6,logical_nodes,network_components,10003033_3
7,network_servers,network_components,10003033_3
8,middle_boxes_/_network_appliances,network_components,10003033_3
9,physical_links,network_components,10003033_3
10,network_domains,network_components,10003033_3
11,end_nodes,network_components,10003033_3
0,topology,continuous_mathematics,10002950_5
1,continuous_functions,continuous_mathematics,10002950_5
2,calculus,continuous_mathematics,10002950_5
3,point-set_topology,topology,10002950_5
4,geometric_topology,topology,10002950_5
5,algebraic_topology,topology,10002950_5
0,computing_in_government,computers_in_other_domains,10010405_8
1,personal_computers_and_pc_applications,computers_in_other_domains,10010405_8
2,agriculture,computers_in_other_domains,10010405_8
3,publishing,computers_in_other_domains,10010405_8
4,cartography,computers_in_other_domains,10010405_8
5,digital_libraries_and_archives,computers_in_other_domains,10010405_8
6,military,computers_in_other_domains,10010405_8
7,e-government,computing_in_government,10010405_8
8,voting_/_election_technologies,computing_in_government,10010405_8
9,word_processors,personal_computers_and_pc_applications,10010405_8
10,spreadsheets,personal_computers_and_pc_applications,10010405_8
11,microcomputers,personal_computers_and_pc_applications,10010405_8
0,logic_and_verification,logic,10003752_4
1,modal_and_temporal_logics,logic,10003752_4
2,finite_model_theory,logic,10003752_4
3,equational_logic_and_rewriting,logic,10003752_4
4,higher_order_logic,logic,10003752_4
5,description_logics,logic,10003752_4
6,linear_logic,logic,10003752_4
7,constructive_mathematics,logic,10003752_4
8,proof_theory,logic,10003752_4
9,programming_logic,logic,10003752_4
10,type_theory,logic,10003752_4
11,automated_reasoning,logic,10003752_4
12,verification_by_model_checking,logic_and_verification,10003752_4
0,network_monitoring,network_management,10003033_7
1,location_based_services,network_services,10003033_7
2,programmable_networks,network_services,10003033_7
3,network_management,network_services,10003033_7
4,in-network_processing,network_services,10003033_7
