,group,child,parent
0,10,exposure,influence
1,10,manipulation,influence
2,10,enticement,influence
3,10,overexposure,exposure
4,10,underexposure,exposure
5,10,solicitation,enticement
6,10,seduction,enticement
7,10,blandishment,enticement
8,10,ingratiation,manipulation
9,10,hypnotism,manipulation
10,10,impingement,influence
11,10,leading astray,influence
12,10,mind game,influence
13,10,cross-pollination,influence
14,101,tent,shelter
15,101,refuge,shelter
16,101,hut,shelter
17,101,haven,shelter
18,101,harbor,refuge
19,101,safe house,refuge
20,101,safehold,refuge
21,101,praetorium,harbor
22,101,loft,harbor
23,101,storm cellar,haven
24,101,dugout,haven
25,101,igloo,haven
26,101,wall tent,tent
27,101,pyramidal tent,tent
28,101,pup tent,tent
29,101,two-man tent,tent
30,101,Bell tent,tent
31,101,lean-to tent,tent
32,101,fly tent,tent
33,101,umbrella tent,tent
34,101,Sibley tent,tent
35,101,mountain tent,tent
36,101,field tent,tent
37,101,backpacking tent,tent
38,101,pop tent,tent
39,101,cottage tent,tent
40,101,canvas tent,tent
41,101,cabana,tent
42,101,Nissen hut,hut
43,101,mudhif,hut
44,105,drum,percussion instrument
45,105,piano,percussion instrument
46,105,cymbal,percussion instrument
47,105,gong,percussion instrument
48,105,chime,percussion instrument
49,105,marimba,percussion instrument
50,105,bass drum,drum
51,105,snare drum,drum
52,105,tenor drum,drum
53,105,tabor,drum
54,105,bongo,drum
55,105,upright,piano
56,105,spinnet,piano
57,105,baby grand,piano
58,105,grand piano,piano
59,105,concert grand,piano
60,105,high-hat cymbal,cymbal
61,105,glockenspiel,percussion instrument
62,105,vibraphone,percussion instrument
63,105,triangle,percussion instrument
64,105,maraca,percussion instrument
65,105,rain stick,percussion instrument
66,105,lagerphone,percussion instrument
67,105,carillon,percussion instrument
68,105,handbell,percussion instrument
69,105,timbrel,percussion instrument
70,105,zill,percussion instrument
71,105,tambour,percussion instrument
72,105,tambourine,percussion instrument
73,105,cymbal,percussion instrument
74,105,mechanical piano,piano
75,105,steel drum,percussion instrument
76,105,bones,percussion instrument
77,13,coefficient of elasticity,coefficient
78,13,coefficient of friction,coefficient
79,13,coefficient of expansion,coefficient
80,13,modulus,coefficient
81,13,coefficient of mutual induction,coefficient
82,13,coefficient of self induction,coefficient
83,13,absorption coefficient,coefficient
84,13,drag coefficient,coefficient
85,13,coefficient of reflection,coefficient
86,13,transmittance,coefficient of reflection
87,13,coefficient of viscosity,coefficient of elasticity
88,13,weight,coefficient
89,13,Young's modulus,modulus
90,13,bulk modulus,modulus
91,13,modulus of rigidity,modulus
92,137,microcytic anemia,anemia
93,137,macrocytic anemia,anemia
94,137,hypochromic anemia,anemia
95,137,hyperchromic anemia,anemia
96,137,aplastic anemia,anemia
97,137,Fanconi's anemia,thalassemia
98,137,Cooley's anemia,thalassemia
99,137,megaloblastic anemia,macrocytic anemia
100,137,pernicious anemia,macrocytic anemia
101,137,refractory anemia,macrocytic anemia
102,137,iron deficiency anemia,microcytic anemia
103,137,sideroblastic anemia,microcytic anemia
104,137,thalassemia,microcytic anemia
105,137,chlorosis,hypochromic anemia
106,137,sickle-cell anemia,anemia
107,137,favism,anemia
108,137,erythroblastosis fetalis,anemia
109,137,metaplastic anemia,anemia
110,137,hemolytic anemia,anemia
111,138,bachelorhood,marital status
112,138,spinsterhood,marital status
113,138,widowhood,marital status
114,138,marriage,marital status
115,138,monogamy,marriage
116,138,polygamy,marriage
117,138,serial monogamy,monogamy
118,138,marriage of convenience,monogamy
119,138,open marriage,monogamy
120,138,monandry,monogamy
121,138,monogyny,monogamy
122,138,polygyny,polygamy
123,138,polyandry,polygamy
124,138,bigamy,polygamy
125,138,sigeh,polygamy
126,138,civil union,marriage
127,138,common-law marriage,marriage
128,138,endogamy,marriage
129,138,exogamy,marriage
130,138,misalliance,marriage
131,138,mesalliance,marriage
132,138,cuckoldom,marriage
133,15,air travel,flight
134,15,sortie,flight
135,15,glide,flight
136,15,terrain flight,flight
137,15,ballooning,flight
138,15,overflight,air travel
139,15,hang gliding,glide
140,15,parasailing,glide
141,15,acrobatics,flight
142,15,tailspin,acrobatics
143,15,solo,flight
144,15,maiden flight,flight
145,15,pass,flight
146,15,flyover,flight
147,15,blind flying,flight
148,150,joke,wit
149,150,drollery,wit
150,150,humor,wit
151,150,one-liner,joke
152,150,dirty joke,joke
153,150,ethnic joke,joke
154,150,sick joke,joke
155,150,in-joke,joke
156,150,banter,drollery
157,150,badinage,drollery
158,150,persiflage,drollery
159,150,repartee,drollery
160,150,fun,humor
161,150,comedy,humor
162,150,parody,comedy
163,150,caricature,comedy
164,150,cartoon,comedy
165,150,comic strip,comedy
166,150,jocosity,wit
167,150,waggery,wit
168,150,pungency,wit
169,150,ribaldry,wit
170,150,bon mot,wit
171,150,esprit de l'escalier,wit
172,150,jeu d'esprit,wit
173,150,mock-heroic,comedy
174,150,sarcasm,humor
175,150,pun,humor
176,150,shaggy dog story,joke
177,150,topper,joke
178,150,sight gag,comedy
179,150,belly laugh,humor
180,150,to be funny story,joke
181,17,higher education,education
182,17,elementary education,education
183,17,secondary education,education
184,17,adult education,education
185,17,continuing education,education
186,17,course,education
187,17,elective course,course
188,17,required course,course
189,17,correspondence course,course
190,17,refresher course,course
191,17,extension course,course
192,17,orientation course,course
193,17,home study,course
194,17,art class,course
195,17,dramatics,course
196,17,industrial arts,course
197,17,shop class,course
198,17,workshop,course
199,17,seminar,course
200,17,childbirth-preparation class,course
201,17,propaedeutic,course
202,17,directed study,course
203,17,life class,course
204,17,extracurricular activity,education
205,17,athletics,education
206,17,coeducation,higher education
207,17,team teaching,higher education
208,17,extension,continuing education
209,17,work-study program,education
210,171,woodpecker,piciform bird
211,171,barbet,piciform bird
212,171,jacamar,piciform bird
213,171,honey guide,piciform bird
214,171,toucan,piciform bird
215,171,toucanet,piciform bird
216,171,piculet,piciform bird
217,171,puffbird,piciform bird
218,171,flicker,woodpecker
219,171,sapsucker,woodpecker
220,171,gilded flicker,flicker
221,171,yellow-shafted flicker,flicker
222,171,red-shafted flicker,flicker
223,171,yellow-bellied sapsucker,sapsucker
224,171,red-breasted sapsucker,sapsucker
225,171,downy woodpecker,woodpecker
226,171,redheaded woodpecker,woodpecker
227,171,wryneck,woodpecker
228,171,green woodpecker,woodpecker
229,171,ivorybill,woodpecker
230,177,auklet,auk
231,177,guillemot,auk
232,177,murre,auk
233,177,razorbill,auk
234,177,little auk,auk
235,177,great auk,auk
236,177,pigeon guillemot,guillemot
237,177,black guillemot,guillemot
238,177,common murre,murre
239,177,thick-billed murre,murre
240,180,apple tree,apple
241,180,crab apple,apple
