,child,parent,group
0,liter,metric_capacity_unit,514
1,kiloliter,metric_capacity_unit,514
2,hectoliter,metric_capacity_unit,514
3,dekaliter,metric_capacity_unit,514
4,deciliter,metric_capacity_unit,514
5,centiliter,metric_capacity_unit,514
6,milliliter,metric_capacity_unit,514
7,cubic_millimeter,metric_capacity_unit,514
8,cubic_kilometer,metric_capacity_unit,514
9,meter,metric_linear_unit,514
10,kilometer,metric_linear_unit,514
11,hectometer,metric_linear_unit,514
12,myriameter,metric_linear_unit,514
13,decimeter,metric_linear_unit,514
14,centimeter,metric_linear_unit,514
15,millimeter,metric_linear_unit,514
16,micron,metric_linear_unit,514
17,nanometer,metric_linear_unit,514
18,angstrom,metric_linear_unit,514
19,femtometer,metric_linear_unit,514
20,picometer,metric_linear_unit,514
21,decameter,metric_linear_unit,514
22,metric_linear_unit,metric_unit,514
23,metric_capacity_unit,metric_unit,514
24,metric_weight_unit,metric_unit,514
25,gram,metric_weight_unit,514
26,kilogram,metric_weight_unit,514
27,hectogram,metric_weight_unit,514
28,dekagram,metric_weight_unit,514
29,decigram,metric_weight_unit,514
30,gram_atom,metric_weight_unit,514
31,gram_molecule,metric_weight_unit,514
32,milligram,metric_weight_unit,514
33,microgram,metric_weight_unit,514
34,nanogram,metric_weight_unit,514
35,metric_ton,metric_weight_unit,514
36,centner,metric_weight_unit,514
37,quintal,metric_weight_unit,514
38,myriagram,metric_weight_unit,514
39,carat,metric_weight_unit,514
40,hundredweight,metric_weight_unit,514
41,grain,metric_weight_unit,514
42,key,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,hoodoo,magus,515
3,lama,priest,515
4,magus,priest,515
5,shaman,priest,515
6,druid,priest,515
7,bacchant,priest,515
8,flamen,priest,515
9,vestal_virgin,priest,515
10,votary,priest,515
11,ezra,priest,515
12,bacchante,priest,515
13,medicine_man,shaman,515
14,rainmaker,shaman,515
15,rhea_silvia,votary,515
0,mean,average,5
1,median,average,5
2,mode,average,5
3,phi_coefficient,correlation_coefficient,5
4,biserial_correlation_coefficient,correlation_coefficient,5
5,tetrachoric_correlation_coefficient,correlation_coefficient,5
6,kendall_partial_rank_correlation,correlation_coefficient,5
7,product-moment_correlation_coefficient,correlation_coefficient,5
8,rank-order_correlation_coefficient,correlation_coefficient,5
9,tau_coefficient_of_correlation,correlation_coefficient,5
10,split-half_correlation,correlation_coefficient,5
11,multiple_correlation_coefficient,correlation_coefficient,5
12,kendall_test,correlation_coefficient,5
13,age_norm,demographic,5
14,mean_deviation,deviation,5
15,standard_deviation,deviation,5
16,arithmetic_mean,mean,5
17,geometric_mean,mean,5
18,harmonic_mean,mean,5
19,second_moment,moment,5
20,variance,moment,5
21,parametric_statistic,statistic,5
22,nonparametric_statistic,statistic,5
23,demographic,statistic,5
24,time_series,statistic,5
25,outlier,statistic,5
26,covariance,statistic,5
27,moment,statistic,5
28,correlation_coefficient,statistic,5
29,regression_coefficient,statistic,5
30,coefficient_of_concordance,statistic,5
31,vital_statistics,statistic,5
32,deviation,statistic,5
33,average,statistic,5
0,quadrille,country-dance,8
1,square_dance,country-dance,8
2,reel,country-dance,8
3,longways,country-dance,8
4,landler,country-dance,8
5,sashay,country-dance,8
6,swing,country-dance,8
7,virginia_reel,longways,8
8,lancers,quadrille,8
9,highland_fling,reel,8
10,eightsome,reel,8
11,do-si-do,square_dance,8
12,promenade,square_dance,8
0,drug_addict,addict,9
1,head,addict,9
2,withdrawer,addict,9
3,caffeine_addict,addict,9
4,drug_user,addict,9
5,crack_addict,cocaine_addict,9
6,speed_freak,drug_addict,9
7,pill_head,drug_addict,9
8,cocaine_addict,drug_addict,9
9,opium_addict,drug_addict,9
10,heroin_addict,drug_addict,9
11,hash_head,head,9
12,pothead,head,9
13,acid_head,head,9
14,tripper,head,9
0,solicitation,enticement,10
