,child,parent,group
0,visualization_design_and_evaluation_methods,visualization,10003120_5
1,empirical_studies_in_visualization,visualization,10003120_5
2,visual_analytics,visualization,10003120_5
3,information_visualization,visualization,10003120_5
4,visualization_application_domains,visualization,10003120_5
5,visualization_techniques,visualization,10003120_5
6,visualization_systems_and_tools,visualization,10003120_5
7,"visualization_theory,_concepts_and_paradigms",visualization,10003120_5
8,scientific_visualization,visualization_application_domains,10003120_5
9,geographic_visualization,visualization_application_domains,10003120_5
10,visualization_toolkits,visualization_systems_and_tools,10003120_5
11,cladograms,visualization_techniques,10003120_5
12,dendrograms,visualization_techniques,10003120_5
13,heat_maps,visualization_techniques,10003120_5
14,treemaps,visualization_techniques,10003120_5
15,graph_drawings,visualization_techniques,10003120_5
16,hyperbolic_trees,visualization_techniques,10003120_5
0,continuous_functions,continuous_mathematics,10002950_5
1,topology,continuous_mathematics,10002950_5
2,calculus,continuous_mathematics,10002950_5
3,point-set_topology,topology,10002950_5
4,algebraic_topology,topology,10002950_5
5,geometric_topology,topology,10002950_5
0,network_design_principles,network_architectures,10003033_1
1,layering,network_architectures,10003033_1
2,programming_interfaces,network_architectures,10003033_1
3,naming_and_addressing,network_architectures,10003033_1
0,electro-mechanical_devices,"communication_hardware,_interfaces_and_storage",10010583_2
1,sensor_devices_and_platforms,"communication_hardware,_interfaces_and_storage",10010583_2
2,sound-based_input_/_output,"communication_hardware,_interfaces_and_storage",10010583_2
3,haptic_devices,"communication_hardware,_interfaces_and_storage",10010583_2
4,displays_and_imagers,"communication_hardware,_interfaces_and_storage",10010583_2
5,networking_hardware,"communication_hardware,_interfaces_and_storage",10010583_2
6,wireless_devices,"communication_hardware,_interfaces_and_storage",10010583_2
7,tactile_and_hand-based_interfaces,"communication_hardware,_interfaces_and_storage",10010583_2
8,printers,"communication_hardware,_interfaces_and_storage",10010583_2
9,scanners,"communication_hardware,_interfaces_and_storage",10010583_2
10,external_storage,"communication_hardware,_interfaces_and_storage",10010583_2
11,buses_and_high-speed_links,"communication_hardware,_interfaces_and_storage",10010583_2
12,beamforming,digital_signal_processing,10010583_2
13,touch_screens,displays_and_imagers,10010583_2
14,wireless_integrated_network_sensors,sensor_devices_and_platforms,10010583_2
15,sensors_and_actuators,sensor_devices_and_platforms,10010583_2
16,sensor_applications_and_deployments,sensor_devices_and_platforms,10010583_2
17,digital_signal_processing,signal_processing_systems,10010583_2
18,noise_reduction,signal_processing_systems,10010583_2
19,"communication_hardware,_interfaces_and_storage",signal_processing_systems,10010583_2
0,usability_in_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
1,privacy_protections,human_and_societal_aspects_of_security_and_privacy,10002978_10
2,economics_of_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
3,social_aspects_of_security_and_privacy,human_and_societal_aspects_of_security_and_privacy,10002978_10
0,random_projections_and_metric_embeddings,computational_geometry,10003752_6
1,expander_graphs_and_randomness_extractors,computational_geometry,10003752_6
2,random_network_models,computational_geometry,10003752_6
0,ethnography,anthropology,10010405_5
0,network_performance_modeling,network_performance_analysis,10003033_5
1,network_performance_evaluation,network_performance_analysis,10003033_5
2,network_experimentation,network_performance_analysis,10003033_5
3,network_simulations,network_performance_analysis,10003033_5
4,network_measurement,network_performance_evaluation,10003033_5
0,wireless_mesh_networks,mesh_networks,10003033_6
1,network_security,network_properties,10003033_6
2,network_privacy_and_anonymity,network_properties,10003033_6
3,error_detection_and_error_correction,network_properties,10003033_6
4,network_reliability,network_properties,10003033_6
5,network_dynamics,network_properties,10003033_6
6,network_manageability,network_properties,10003033_6
7,network_mobility,network_properties,10003033_6
8,network_range,network_properties,10003033_6
9,short-range_networks,network_range,10003033_6
10,wide_area_networks,network_range,10003033_6
11,metropolitan_area_networks,network_range,10003033_6
12,local_area_networks,network_range,10003033_6
13,very_long-range_networks,network_range,10003033_6
14,network_topology_types,network_structure,10003033_6
15,network_properties,network_structure,10003033_6
16,topology_analysis_and_generation,network_structure,10003033_6
17,physical_topologies,network_topology_types,10003033_6
18,logical_/_virtual_topologies,network_topology_types,10003033_6
19,point-to-point_networks,network_topology_types,10003033_6
20,mesh_networks,network_topology_types,10003033_6
21,star_networks,network_topology_types,10003033_6
22,ring_networks,network_topology_types,10003033_6
23,bus_networks,network_topology_types,10003033_6
24,hybrid_networks,network_topology_types,10003033_6
25,fiber_distributed_data_interface_(fddi),physical_topologies,10003033_6
26,token_ring_networks,ring_networks,10003033_6
0,quantum_technologies,emerging_technologies,10010583_10
1,biology-related_information_processing,emerging_technologies,10010583_10
2,emerging_simulation,emerging_technologies,10010583_10
3,emerging_tools_and_methodologies,emerging_technologies,10010583_10
4,bio-embedded_electronics,emerging_technologies,10010583_10
5,neural_systems,emerging_technologies,10010583_10
6,memory_and_dense_storage,emerging_technologies,10010583_10
7,emerging_optical_and_photonic_technologies,emerging_technologies,10010583_10
8,plasmonics,emerging_technologies,10010583_10
9,emerging_languages_and_compilers,emerging_technologies,10010583_10
10,spintronics_and_magnetic_technologies,emerging_technologies,10010583_10
11,flexible_and_printable_circuits,emerging_technologies,10010583_10
