,group,child,parent
0,10,enticement,influence
1,10,seduction,influence
2,10,solicitation,influence
3,10,blandishment,influence
4,10,manipulation,influence
5,10,cross-pollination,influence
6,10,mind game,influence
7,10,hypnotism,influence
8,10,underexposure,influence
9,10,overexposure,influence
10,10,leading astray,influence
11,10,ingratiation,influence
12,10,impingement,influence
13,101,tent,shelter
14,101,canvas tent,tent
15,101,pup tent,tent
16,101,two-man tent,tent
17,101,backpacking tent,tent
18,101,bell tent,tent
19,101,pyramidal tent,tent
20,101,Sibley tent,tent
21,101,umbrella tent,tent
22,101,field tent,tent
23,101,mountain tent,tent
24,101,fly tent,tent
25,101,pop tent,tent
26,101,wall tent,tent
27,101,dugout,shelter
28,101,hovel,shelter
29,101,cottage tent,shelter
30,101,hut,shelter
31,101,cabana,shelter
32,101,loft,shelter
33,101,praetorium,shelter
34,101,safe house,shelter
35,101,haven,shelter
36,101,safehold,shelter
37,101,refuge,shelter
38,101,storm cellar,shelter
39,101,fallout shelter,shelter
40,101,mudhif,shelter
41,101,nissen hut,shelter
42,101,circus tent,shelter
43,101,pavilion,shelter
44,105,percussion instrument,musical instrument
45,105,piano,musical instrument
46,105,snare drum,percussion instrument
47,105,bass drum,percussion instrument
48,105,tenor drum,percussion instrument
49,105,bongo,percussion instrument
50,105,tambourine,percussion instrument
51,105,cymbal,percussion instrument
52,105,triangle,percussion instrument
53,105,maraca,percussion instrument
54,105,marimba,percussion instrument
55,105,zill,percussion instrument
56,105,handbell,percussion instrument
57,105,tabor,percussion instrument
58,105,tambour,percussion instrument
59,105,timbral,percussion instrument
60,105,gong,percussion instrument
61,105,steel drum,percussion instrument
62,105,glockenspiel,percussion instrument
63,105,vibraphone,percussion instrument
64,105,carillon,percussion instrument
65,105,lagerphone,percussion instrument
66,105,upright,piano
67,105,grand piano,piano
68,105,baby grand,grand piano
69,105,concert grand,grand piano
70,105,spinet,piano
71,105,mechanical piano,piano
72,105,drum,percussion instrument
73,105,chime,percussion instrument
74,13,modulus,coefficient
75,13,bulk modulus,modulus
76,13,modulus of rigidity,modulus
77,13,Young's modulus,modulus
78,13,coefficient,coefficient
79,13,coefficient of self induction,coefficient
80,13,coefficient of reflection,coefficient
81,13,coefficient of expansion,coefficient
82,13,coefficient of friction,coefficient
83,13,coefficient of viscosity,coefficient
84,13,coefficient of mutual induction,coefficient
85,13,drag coefficient,coefficient
86,13,absorption coefficient,coefficient
87,13,weight,coefficient
88,13,transmittance,coefficient
89,137,iron deficiency anemia,anemia
90,137,sickle-cell anemia,anemia
91,137,microcytic anemia,anemia
92,137,macrocytic anemia,anemia
93,137,megaloblastic anemia,macrocytic anemia
94,137,hypochromic anemia,microcytic anemia
95,137,hyperchromic anemia,macrocytic anemia
96,137,aplastic anemia,anemia
97,137,hemolytic anemia,anemia
98,137,pernicious anemia,megaloblastic anemia
99,137,Cooley's anemia,anemia
100,137,Fanconi's anemia,anemia
101,137,thalassemia,anemia
102,137,hypoplastic anemia,anemia
103,137,refractory anemia,anemia
104,137,sideroblastic anemia,anemia
105,137,erythroblastosis fetalis,anemia
106,137,chlorosis,anemia
107,137,ischemia,anemia
108,137,ischemic stroke,ischemia
109,137,transient ischemic attack,ischemia
110,137,favism,anemia
111,138,monogamy,marriage
112,138,polygamy,marriage
113,138,civil union,marriage
114,138,common-law marriage,marriage
115,138,polyandry,polygamy
116,138,polygyny,polygamy
117,138,serial monogamy,monogamy
118,138,bigamy,marriage
119,138,open marriage,marriage
120,138,cuckoldom,marriage
121,138,sigeh,marriage
122,138,marriage of convenience,marriage
123,138,spinsterhood,marital status
